Doc type,citation,Title,Abstract,Scopus Hash ID,DOI,Journal/Conference,Year,Business Use Case,Technical Application,Type of Learning,Key-intake,Contribution,Authors Definition of NeSy,Symbolic terms,Neural terms,NeSy Category,Kautz category,Datasets,Model description,Evaluation Metrics,Reported Score,Study Quality,Comments,MISC,leverages natural language structure,leverages relational structure,Knowledge representation,implicit vs explicit,reasoning,out-of-distribution generalization,interpretability,reduced data,transferability,NeSy (check if the authors label their work as NeSy),total,,,
cp,\cite{Kogkalidis_Moortgat_Moot_2020},Neural Proof Nets,"Linear logic and the linear λ-calculus have a long standing tradition in the study of natural language form and meaning. Among the proof calculi of linear logic, proof nets are of particular interest, offering an attractive geometric representation of derivations that is unburdened by the bureaucratic complications of conventional prooftheoretic formats. Building on recent advances in set-theoretic learning, we propose a neural variant of proof nets based on Sinkhorn networks, which allows us to translate parsing as the problem of extracting syntactic primitives and permuting them into alignment. Our methodology induces a batch-efficient, end-to-end differentiable architecture that actualizes a formally grounded yet highly efficient neuro-symbolic parser. We test our approach on {\AE}Thel, a dataset of type-logical derivations for written Dutch, where it manages to correctly transcribe raw text sentences into proofs and terms of the linear λ-calculus with an accuracy of as high as 70{\%}.",https://aclanthology.org/2020.conll-1.3,10.18653/v1/2020.conll-1.3,,2020,N2F,reasoning,supervised,"Two key components. The first is an encoder/decoder-based supertagger that converts raw text sentences into linear logic judgements by dynamically constructing contextual  type assignments, one primitive symbol at a time. The second is a bi-modal encoder that contextualizes the generated judgement in conjunction with the input sentence. The contextualized representations are fed into a Sinkhorn layer, tasked with finding the valid permutation that brings primitive symbol occurrences into alignment.","We have introduced neural proof  nets, a data-driven perspective on the proof nets of ILL(, and  successfully employed them on the demanding task of transcribing raw text to proofs and computational terms of the linear λ-calculus.",,Vector-symbolic architecture,transformer,compiled,4. Neuro: Symbolic → Neuro,Æthel,We first encode sentences using BERTje. We then decode into proof frame sequences using a Transformer-like decoder,Area Under the Curve (AUC),Upto 85%,0.5555555556,,,TRUE,FALSE,frames,implicit,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4,generalization,,
cp,\cite{Lima_Espinasse_Freitas_2019},The Impact of Semantic Linguistic Features in Relation Extraction: A Logical Relational Learning Approach,"Relation Extraction (RE) consists in detecting and classifying semantic relations between entities in a sentence. The vast majority of the state-of-the-art RE systems relies on morphosyntactic features and supervised machine learning algorithms. This paper tries to answer important questions concerning both the impact of semantic based features, and the integration of external linguistic knowledge resources on RE performance. For that, a RE system based on a logical and relational learning algorithm was used and evaluated on three reference datasets from two distinct domains. The yielded results confirm that the classifiers induced using the proposed richer feature set outperformed the classifiers built with morphosyntactic features in average 4{\%} (F1-measure).",https://aclanthology.org/R19-1076,10.26615/978-954-452-056-4_076,,2019,Relation extraction,information extraction,supervised,Rich language features improve perfomance of ILP,a feature engineering step composed by a substantial body of deep linguistic knowledge in combination with an expressive inductive learning technique can generate effective RE models.,,"semantic enrichement,
inductive logic prgramming (ILP),
first order logic (FOL),
ontology",neural network (NN),sequential,1. symbolic Neuro symbolic,"reACE,
IPEA",NLP feature extraction with deep learning -> ILP,F1,better than baselines,0.7777777778,"Indeed, the performance improves as more features are used, starting with the F-measure of 77.77 and reaching 81.80. However, the authors don't provide any baselines which are not their own work. They discussed related work, but then didn't provide any results to comapre their approach to.",Logical Relational Learning,TRUE,TRUE,logical,explicit,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,,,
cp,\cite{Xu_Li_2019},Relation Embedding with Dihedral Group in Knowledge Graph,"Link prediction is critical for the application of incomplete knowledge graph (KG) in the downstream tasks. As a family of effective approaches for link predictions, embedding methods try to learn low-rank representations for both entities and relations such that the bilinear form defined therein is a well-behaved scoring function. Despite of their successful performances, existing bilinear forms overlook the modeling of relation compositions, resulting in lacks of interpretability for reasoning on KG. To fulfill this gap, we propose a new model called DihEdral, named after dihedral symmetry group. This new model learns knowledge graph embeddings that can capture relation compositions by nature. Furthermore, our approach models the relation embeddings parametrized by discrete values, thereby decrease the solution space drastically. Our experiments show that DihEdral is able to capture all desired properties such as (skew-) symmetry, inversion and (non-) Abelian composition, and outperforms existing bilinear form based approach and is comparable to or better than deep learning models such as ConvE.",https://aclanthology.org/P19-1026,10.18653/v1/P19-1026,,2019,KG Completion / link prediction,classification,unsupervised,Embedding generation ; AdaGrad optimazation is used to generate embeddings. Contribution of the paper is that they consider non-abelian group to generate embeddings.,"DihEdral for KG relation embedding. By leveraging the desired properties of dihedral group, relation (skew-) symmetry, inversion, and (non-)  belian compositions are all supported.",,rule based,neural network (NN),sequential,1. symbolic Neuro symbolic,FB15K,Grid search with best MRR. AdaGrad optimization with Gumbel-Softmax function.,Hits@K,Upto 64,0.7777777778,Embedding generation based on mathematical properties i.e. Abelian and non-abelian group.,,FALSE,TRUE,frames,explicit,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,,,
cp,\cite{AltszylerBBBV21},Zero-shot Multi-Domain Dialog State Tracking Using Prescriptive Rules,"In this work, we present a framework for incorporating declarative logical rules in state-of-the-art neural networks, enabling them to learn how to handle unseen labels without the introduction of any new training data. The rules are integrated into existing networks without modifying their architecture, through an additional term in the network’s loss function that penalizes states of the network that do not obey the designed rules. As a case study, the framework is applied to an existing neural-based Dialog State Tracker. Our experiments demonstrate that the inclusion of logical rules allows the prediction of unseen labels, without deteriorating the predictive capacity of the original system.",,,15th International Workshop on Neural-Symbolic Learning and Reasoning,2021,Dialog system,generative,supervised,"In this work we show how a set of rules can be incorporated into a Neural Network to predict a new category that did not exist in the training set. It is worth noting that this rule-based setup completely depends on the coverage of a set of rules established by the domain experts, and also, that the rules/weight/predicate and values/slot names are problem specific","a) we enhance a Neural-based Dialog State Tracker with logic rules, without degrading the  performance of the base system, b) we show that the addition of the logic rules allow the  redictions of unseen labels which can be very useful in the case of unlabeled or partially  labeled data.",,fuzzy logic,recurrent neural network (RNN),compiled,5. Neuro_Symbolic,MultiWOZ 2.0,MDNBT is implemented as multi-layer networks with Bi-LSTMs to model the user and system utterance and with RNNs with a memory cell to model the flow of the conversation.,F1,0.7% relative decrease,0.7777777778,"A rules-dependent loss term is introduced into the system’s loss  function as a way of integrating rules to the learning process and as a way of allowing the use of off-the-shelf optimizers. By including rules as part of the training process, we generate extra cost when the network  does not satisfy a certain rule.",,FALSE,TRUE,rules,implicit,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,2,,,
cp,\cite{cowen2019neural},Neural Variational Inference For Estimating Knowledge Graph Embedding Uncertainty,"Recent advances in Neural Variational Inference allowed for a renaissance in latent variable models in avariety of domains involving high-dimensional data. While traditional variational methods derive an analytical approximation for the intractable distribution  over the latent variables, here we construct an inference network conditioned on the symbolic representation of entities and relation types in the Knowledge  Graph, to provide the variational distributions. The new framework results in a highly-scalable method.  Under a Bernoulli sampling framework, we provide an alternative justification for commonly used techniques in large-scale stochastic variational inference, which drastically reduce training time at a cost of an additional approximation to the variational lower  bound. We introduce two models from this highly  scalable probabilistic framework, namely the Latent  Information and Latent Fact models, for reasoning over knowledge graph-based representations. Our  Latent  information and Latent Fact models improve upon baseline performance under certain conditions.  We use the learnt embedding variance to estimate  predictive uncertainty during link prediction, and discuss the quality of these learnt uncertainty estimates. Our source code and datasets are publicly   available online ",,,International Joint Conference on Artificial Intelligence,2019,KG Completion / link prediction,classification,unsupervised,Embedding generation.,"We introduce a framework for creating a family of highly scalable probabilistic models for knowledge graph  epresentation The framework improves model performance under certain conditions, while reducing the parameter search by one hyper-parameter, as the unit Gaussian prior is selfregularising",,Vector-symbolic architecture,neural network (NN),sequential,1. symbolic Neuro symbolic,WN18,Embedding generation by latent information model and latent fact model.,Hits@K,0.952,0.6666666667,"DistMult and ComplEx are modified to handle uncertainiity.  An inference network id built that is conditioned on the symbolic representation of entities and relation types in the Knowledge Graph, to provide the variational distributions we construct an inference network  conditioned on the symbolic representation of entities and relation types in the Knowledge  Graph, to provide the variational distributions",,TRUE,FALSE,frames,implicit,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,,,
cp,\cite{gu2019local},Local ABox Consistency Prediction with Transparent TBoxes Using Gated Graph Neural Networks,We address the problem of local ABox consistency prediction with transparent TBoxes and propose a new algorithm based on gated graph neural networks to solve it. Experiments on our proposed  benchmark demonstrate that our  ew model can outperform previous methods. We also share some insights on under what circumstances our method  should be favored.,,,International Joint Conference on Artificial Intelligence,2019,Entity Resolution,classification,supervised,Resolving A-Box inconsistency using GGNN,A new benchmark to cover inconsistency patterns of different difficulties.,,path finding and reasoning,graph neural network (GNN),sequential,1. symbolic Neuro symbolic,DBpedia,"GGNN is a general neural network architecture defined  ccording to a graph structure G = (V, E). Firstly, each node  V is manually annotated as a numerical vector xv with dimension D. Node annotation is task dependent. Secondly, graphs are mapped to outputs by GGNN via two steps, i.e., propagation model and output model.",F1,Upto 85%,0.6666666667,Resolved consisetncy of ABox using TBox  for DbPedia and YAGO.,,FALSE,TRUE,semantic network,implicit,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,,,
cp,\cite{Brasoveanu2019656},Semantic Fake News Detection: A Machine Learning Perspective,,2-s2.0-85067488804,10.1007/978-3-030-20521-8_54,"15th International Work-Conference on Artificial Neural Networks, IWANN 2019",2019,Text classification,classification,supervised,,"Semantic features (sentiment analysis, named entities and relations) will be added to a set of syntactic features (POS - part-of-speech and NPs - Noun Phrases) and to the features of the original input dataset. On the resulted augmented dataset various classifiers, such as LSTM, CNN, and Capsule Networks are applied.",,semantic enrichment,recurrent neural network (RNN),sequential,1. symbolic Neuro symbolic,Liar data set,1. Data augmentation,Accuracy,64%,0.78,"Data is preprocessed to add various semantic and syntax level details. Metadata contains : sentiment (mostly aspect-based and sentence level), named entities (extracted from NLP library) and named entity links (wrappers on top of DBPedia spotlight). Relation extraction contains :  POS tags ( extracted directly from news sentence), triples (extracted from DBPedia). Experiments were conduscted using pretrained embeddings (Glove, fastText and word2vec). Both classical and DL based models were implemented to compare impact of added relations.",,TRUE,FALSE,frames,implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,no mention of reasoning. essentially this is another example of semantic enrichement
cp,\cite{Graziani2019185},Jointly Learning to Detect Emotions and Predict Facebook Reactions,,2-s2.0-85072850367,10.1007/978-3-030-30490-4_16,"28th International Conference on Artificial Neural Networks, ICANN 2019",2019,Sentiment analysis,classification,semi-supervised,The provided experimental analysis has shown that bridging these two tasks (emotion detection and reaction prediction) by means of FOL-based constraints leads to improvements in the prediction quality that clearly goes beyond more naive approaches in which artificial labels are generated in the data preprocessing stage.,a neural network-based model to jointly learn the task of emotion detection and the task of predicting Facebook reactions.,,first order logic (FOL),recurrent neural network (RNN),compiled,5. Neuro_Symbolic,"AffectiveText, ISEAR, and Fairy Tales, Facebook posts",text -> LSTM (word embeddings ) -> 2 MLPs (one for task) with logical constraints,F1,on par or better than SOTA in some intances,0.78,The model jointly predicts the reactions and the emotions of facebook posts by using FOL as constraints to the optimization problem. The FOL formulas are mapped using t-norm functions and added to the Loss function for each reaction and emotion. The system is inspired by Learning from Constraints. The procedure doesn't require an emotion lexicon which other SOTA systems employ.,,FALSE,FALSE,logical,explicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,on par with baselines,,FOL is embedded as constraints. none of the promises are relevant here.
cp,\cite{Bianchi2019161},Complementing logical reasoning with sub-symbolic commonsense,,2-s2.0-85075592929,10.1007/978-3-030-31095-0_11,"3rd International Joint Conference on Rules and Reasoning, RuleML+RR 2019",2019,KG Completion / link prediction,reasoning,supervised,"the major contribution of this work is to show that combining commonsense knowledge under the form of text-based entity embeddings with LTNs is not only simple, but it is also promising","In this paper, we have shown that the combination of sub-symoblic commonsense representations, under the form of entity embeddings generated from text, and logical reasoning in vector spaces is flexible and can be used to solve completion tasks. Since LTNs are based on Neural Networks, they reach similar results while also achieving high explainability due to the fact that they ground first-order logic. The real advantage comes from the fact that LTNs allow us to get the best of both the symbolic and connective worlds and to easily integrate additional knowledge like sub-symbolic commonsense knowledge.
",Neuro-symbolic integration is a current field of investigation in which symbolic approaches are combined with deep learning ones.,"first order logic (FOL),
knowledge graph (KG)",logic tensor network (LTN),compiled,5. Neuro_Symbolic,DBpedia,word embeddings -> logic tensor network -> reaoning,F1,on par with SOTA,1.00,"quantifiers make LTNs computationally inefficient.
LTN_EE can be used for inference after training, while DNN cannot.",https://github.com/vinid/logical commonsense.,FALSE,TRUE,semantic network,both,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,3,on par with baselines,higher than baselines,"Logic Tensor Networks (LTNs). 
The authors describe two types of reasoning: ""subsymbolic commonsense"" (strongly correlated with associative learning), and ""axiomatic"" knowledge (predicates and logic formulas) for structured inference.
""LTNs can be be used to do after-training reasoning over combinations of axioms on which it was not trained on""
""Since LTNs are based on Neural Networks, they reach similar results while also achieving high explainability due to the fact that they ground first-order logic.""

Subsymbolic commonsense (word vectors) do not in my opinion represent the kind of commonsense we refer to when we talk about people's ability to use common sense, as in not touching a hot stove, or not 'cutting a door in half to fit the table through it' (as in the example from Marcus on GPT3). Should we make a distinction between commonsense knowledge and commonsense reasoning? and how would we do that? Is it justifiable to call word vetors commonsense knowledge, or is this just linguistic gymnastics to fit an agenda?
"
cp,\cite{Lemos2020647},Neural-Symbolic Relational Reasoning on Graph Models: Effective Link Inference and Computation from Knowledge Bases,,2-s2.0-85096590382,10.1007/978-3-030-61609-0_51,"29th International Conference on Artificial Neural Networks, ICANN 2020",2020,KG Completion / link prediction,classification,supervised,Trains a model to reason directly over graphs. enabling reasoning over many paths at once.,,,semantic enrichment,graph neural network (GNN),cooperative,3. Neuro; Symbolic,"ClueWeb, Freebase",GNN to learn embeddings followed by MLP for prediction,"Mean Average Precision, MAP)",Upto 92%,0.78,"Authors have created 3 models, GNN-Relation, GNN-Mean and GNN-sum ; GNN relation considers only relations where as other 2 models considers both entity and relations to store/compute embeddings. These embeddings are fed into DL model (GNN ; LSTM cells and Relu activation function)","this seems like the appropriate Type 3 label since the entire system is backpropageted. Hense, MLP module feeds the GNN module and vice versa. Comparing to row 55 (relation extraction, the modules are not jointly learned. Hense row 55 was marked type 1)",FALSE,TRUE,frames,implicit,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,better than baselines,,"""reasoning and inference on link prediction""
The authors talk about reasoning over graphs to mean link prediction."
cp,\cite{Cui2021419},Sememes-Based Framework for Knowledge Graph Embedding with Comprehensive-Information,,2-s2.0-85113718164,10.1007/978-3-030-82147-0_34,"14th International Conference on Knowledge Science, Engineering and Management, KSEM 2021",2021,KG Completion / link prediction,classification,supervised,"Rather than using TransE, TransR etc they have proposed a new embedding model using pretrained BERT.","sememes-based framework for knowledge graph to streamline the semantic space of entities. Replace entity descriptions with a finite set of semantics and encode the sememe labels of entities using a pre-trained Bert model, and finally jointly learning the symbolic triples and sememe labels",,sememe,neural network (NN),sequential,1. symbolic Neuro symbolic,"FB15K, WN18","Sememes-based framework for knowledge graph embedding architecture, where grammatical sememes and pragmatic sememes  co-represent entity’s comprehensive-information. Pretrained BERT is used to generate embeddings by considering pragmatic and grammatical sememes seperately. One-vs-rest training strategy is used to train the logistic regression model to make multi-label predictions. Multi-label classification task with 50 classes, which means that for each entity, the method should provide a set of types instead of a single type.  Semantic enrichment -> BERT -> LR ?","Mean Average Precision, MAP)",Upto 95%,0.78,Embeddings are generated by classifying text into grammatical and pragmatic sememes.  Pretrained BERT is used to classify of grammatical and pragmatic sememes. They have translated english words back to chinese to compare their models with others.,"A sememe is an indivisible semantic unit for human languages defined bylinguists. I see this as a NN approach enriched by additonal information about each node (in the form of sememes). One could argue that this additional knowledge is symbolic, and conclude that the neuro-symbolic approach outperforms SOTA NN link prediction, such asTRANS-E.",TRUE,TRUE,frames,implicit,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,link prediction. reasoning is not mentioned explicitly.
ar,\cite{Skrlj2021989},autoBOT: evolving neuro-symbolic representations for explainable low resource text classification,,JN4IZETG,10.1007/s10994-021-05968-x,Machine Learning,2021,Text classification,classification,supervised,"autoBOT is explainable, efficient, and performs on par with language models like BERT.","a novel approach for text classification with limited data and resources, but comparable in erformance to BERT. Hyperparameters are optimized using an evolutionary algorithm. Novel feature types: document keywords, relational features, and first order features (based on grounded relations from ConceptNet)",NA,"symbolic learner,
symbolic representations,
ConceptNet KG","SVM,
neuroevolution (NE)",cooperative,3. Neuro; Symbolic,"semeval2019, semeval2019,
mbti,
Fox,
BBC,
etc..","autoBOT (automatic Bags-Of-Tokens),
The proposed approach consists of an evolutionary algorithm that jointly optimizes various sparse representations of a given text (including word, subword, POS tag, keyword-based, knowledge graph-based and relational features) and two types of document embeddings (non-sparse representations). The key idea of autoBOT is that, instead of evolving at the learner level, evolution is conducted at the representation level.
",F1,up to 99% on some tasks,1.00,"autoBot is a genetic algorithm for text data that learns both the representations and the models for classification jointly. The inclusion of novel symbolic features improves performance over traditional linear models such as SVM and Logistic Regression, and performs on par with large language models such as BERT. The advantage of autoBot is its explainability (feature importances), and efficiency in a low resource setting (small data/feature sparsity, and limited compute power). What makes AutoBOT neuro-symbolic is the combination of symbolic and non-symbolic features. The study was conducted using off the shelf implementations and a very basic evolutionary algorithm, thus leaving plenty of room for improvements. Classification is performed at the document level, but it would be worth exploring this pipeline for sentence level and span level classification on for example, the semeval2020 task, which already has a leaderboard with BERT based solutions for comaprison.

L3:cooperative - unstructured input to symbolic representations (here different symbolic features, POS, relations, etc) - solved by a symbolic reasoner [the genetic algorithm which learns representations] - fed to classifer
""As the solutions encode both the weights at the feature subspace level, as well as weights of individual features, autoBOT offers two distinct views of feature importances""","Does not fall into any of Kautz's categories. However, the use of linear classifiers (ie symbolic learners) in combination with sub-symbolic representations qualifies for the neuro-symbolic moniker.",TRUE,TRUE,semantic network,implicit,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,on par with baselines,lower than baselines,"""autoBOT also explores novel representation types such as e.g., knowledgegraph based features, capable of exploiting the knowledge beyond the textual training data considered.""
no mention of reasoning.
""The key idea of autoBOT is that, instead of evolving at the learner level, evolution is conducted at the representation level.""
"
ar,\cite{Schon2019293},The CoRg Project: Cognitive Reasoning,,7MMJY5BM,10.1007/s13218-019-00601-5,KI - Kunstliche Intelligenz,2019,Question answering,reasoning,supervised,"Authors argue that combining logic reasoning with ML improves performance and gerates explainable results. The challenge is in finding an appropriate logics for cognitive (human-like) reasoning. The objective of CoRg is to develop a system for cognitive computing.
","So far we implemented a first prototype of the CoRg system, using KNEWS, WordNet, Hyper, ConceptNet Numberbatch and neural network techniques and evaluated it on COPA.",,logic,recurrent neural network (RNN),sequential,1. symbolic Neuro symbolic,COPA benchmark set (Choice of Plausible Alternatives),raw text -> FOL (using KNEWS) -> augment with bg knwledge bases -> theorem prover -> NN,,,0.56,"The study explores using a variety of logic systems for Cognitive Reasoning. The authors posit that combining logic programming with NN should produce not only more accurate results, but also provide expalainbility. It is a work in progress. Results are not reported. The model output is a decision between two possible answers. It is inference in the sense that the answer is inout to the model to determine the value (yes/no), even though the value s binary, this is unlike a classification problem where the label is a class. Here the labels are sentences.",,FALSE,TRUE,logical,both,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,wip,,"""The objective of CoRg is to develop a system for cognitive computing.""
""The aim of the CoRg project (Cognitive Reasoning) is to successfully complete a reasoning task with commonsense reasoning.""
""we have to find appropriate logics for cognitive reasoning. For a successful reasoning system, nowadays it seems to be important to combine automated reasoning with machine learning technology like recurrent neural networks."" The authors don't explictly state that this is neuro-symbolic. They state that in order to emulate human reasoning, systems need to be flexible, be able to deal with contradicting evidence, evolving evidence, have access to enourmous amounts of background knowledge, and include a combination of different techniques and logics.
"
ar,\cite{Jiang2020},Medical knowledge embedding based on recursive neural network for multi-disease diagnosis,,JGU2SECC,10.1016/j.artmed.2019.101772,Artificial Intelligence in Medicine,2020,Decision support,classification,supervised,Using Huffman trees to build symbols and logic into a Recursive NN which can be optimized with GD.,"Knowledge-based neural network, in which nerve cells in a hidden layer consist of first-order logic.
For neural network parameter learning, a complete theoretical framework based on back-propagation was established to minimize the cross-entropy error.
",,"first order logic (FOL),
Huffman tree","recursive neural knowledge network (RNKN),
recursive neural network (RcNN)",compiled,4. Neuro: Symbolic → Neuro,CEMR,"text -> KG triples -> Huffman tree -> logic functions as nerve cells -> softmax,
optimized using GD/backProp","p@k,
Discounted Cummulative Gain (DCG)",[0.36 - 0.72],0.78,"The study encodes knowledge in the form of huffman trees made of triples, and logic expressions, in order to jointly learn embeddings and model weights. The first layer consists of entities, the second layer consists of relations (x-> y). Higher layers compute logic rules. The root node is the final embedding representing a document (in this case a single health record). Softmax is used to calculate class probabilities. back propagation is used for optimization. Sub-symbolic representations are learned from symbolic features and rules iteratively.",interesting approach that would be worth trying for propaganda detection,FALSE,TRUE,logical,both,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,2,better than baselines,,"Embeddings are learned by following the logic expressions encoded in the huffman trees which have been built from the data. In that sense it's fair to say that reasoning is taking place to generate the embeddings. Embeddings are then processed in the usual NN manner.

Kyle: If we could come up with a logic for language (as in news articles), then perhaps this is a promising approach to either finetune LLM, or bild a model from much smaller data.

each node of the tree () is a logic expression, thus hidden layers are interpretable.
Using Huffman trees to represent deep first-order logic knowledge - these are fed into a NN to learn vector embeddings, which in turn are used for classification.
Here knowledge is embedded in the represenations.As such it can be considered a case of semantic enrichment.
""We developed a knowledge-based neural network, in which nerve cells in a hidden layer consist of first-order logic.""
""knowledge embedding (i.e., high-dimensional and continuous vectors) is a feasible approach to complex reasoning that can not only retain the semantic information of knowledge, but also establish the quantifiable relationship among embeddings""
""the core argument against embeddings is the inability to capture more complex patterns of reasoning such as those enabled by first-order logic""



"
ar,\cite{Hussain20181662},Semi-supervised learning for big social data analysis,,GS3TRUYZ,10.1016/j.neucom.2017.10.010,Neurocomputing,2018,Sentiment analysis,classification,semi-supervised,The addtion of prior knowledge to bias the classification model improves the accuracy of sentiment predictions.,"AffectNet: combined ConceptNet and WNA - commonsense and emotional knowledge are melded together.
AffectNet2: AffectNet with reduced dimentionality.
a flexible framework for semisupervised learning comprising of two parts: clustering and regularized classification.",,"commonsense knowledge,
graph representation",SVM,compiled,5. Neuro_Symbolic,"Pang and Lee,
AffectNet benchmark",clutering -> classification regularized by output of clustering,Accuracy,88.50%,0.78,"The study embeds prior knowledge in the form of a graph representing concepts and relations from natural language. These are projected into multi-dimentional space and a clustering algorithm is employed to generate the solution space. Subsequently, a regularized classification algorithm is employed where the output of the clustering stage is used in the regularization term. I have classified this as Kautz category 5. However, it differs from the cat5 defition in that the regularization term is not a logic rule, but prior knowledge.",,TRUE,TRUE,semantic network,implicit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,better than baselines,,"AffectiveSpace - see also Chaturvedi2019264
""The key to performing commonsense reasoning is to find a good trade-off for knowledge representation."" Here this translates to the dimanetionality of the AffectiveSpace.
Humans reason by way of analogy. ""concepts and features that are aligned and possess high dot yields are ideal contenders for analogies.""
commonsense reasoning is defeasable.
commonsense knowledge is represented in ConceptNet, a semantic network based on WordNet and Cyc which includes word phrases and relations (isA, etc..) Compare to {Bianchi2019161} where (sub-symbolic) commonsense is the raw data. 
benchmarks are from 5 and 6 years prior to the study at hand.

"
ar,\cite{Liu2021260},Heterogeneous graph reasoning for knowledge-grounded medical dialogue system,,2PNFHS7L,10.1016/j.neucom.2021.02.021,Neurocomputing,2021,Dialog system,classification,supervised,RNN (encoder) + GAT + RNN (decoder),heterogeneous graph reasoning (HGR) model to unify the dialogue context understanding and entity-correlation reasoning.,,knowledge graph (KG),recurrent neural network (RNN),compiled,4. Neuro: Symbolic → Neuro,"MDG-C, MDG-D",RNN -> GAT -> RNN,"F1, Precision/recall, Bleu score",Upto 44%,0.78,"Though it is medical application, might be useful. Heterogeneous graph reasoning model to efficiently incorporate the contextual information and domain knowledge for entity reasoning in medical dialogue.",,FALSE,TRUE,semantic network,implicit,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,,,reasoning on graphs - domain knowledge is leveraged. supervised dialog data is used for answer generation.
ar,\cite{Yao201842},Learning to activate logic rules for textual reasoning,,NB39QA35,10.1016/j.neunet.2018.06.012,Neural Networks,2018,Question answering,reasoning,reinforcement,"Image Scheme (IS) is acquired from early life experience, which is also our hypothesis in this work
our work aims at precise reasoning, good interpretability of models, and perfect performances on small dataset","We propose a novel memory-augmented neural network framework making use of logic rules inducted from existing theories of Image Schema and Cognitive Model.
We redefine textual reasoning tasks as interactive-feedback process with human working memory. Under certain assumptions, we jointly solve two main problems: variable binding and relation activating, via deep reinforcement learning.
Our experimental results show the existence of common properties among real-world relations, and the probability to partially re-construct human logic system to boost performances on language comprehension tasks.
Variable-Relation Reasoning Machine (VRRM)

",NA,"Sequencial decision making,
predicate logic,
relational logic,
rule based,
rule induction,
cognitive linguistics","Memory Network,
neural network (NN)",cooperative,3. Neuro; Symbolic,bAbI-20,"We redefine textual reasoning as a sequential decision-making problem, and solve it with reinforcement learning (RL).",Test error rate,0.70%,0.67,"This work makes the hypothesis that human reasoning can be modeled by Image Schemas (IS). Schemas are made up of logical rules on (Entity1,Relation,Entitity2) tuples, such as transitivity, or inversion. Input sentences and questions are encoded as the concatenation of individual word embeddings with zero paddings. An MLP module is used to learn a set of tuples by performing simulations and utilizing Reinforcement Learning. This work is limited by the nature of the synthetic data set. It is not shown how well it might generalize to a real world scenario. There is also a limited number of schemas, and as the authors point out, future work should include additional schemas more representative of human reasoning. (See also https://arxiv.org/pdf/1706.01427.pdf from DeepMind 2017)",,FALSE,TRUE,rules,explicit,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,better than baselines,lower than baselines,"authors take the explicit stance that LLMs do not reason (hence, reasoning is/should be explicit). ""There is close, intrinsic relationship between reasoning and human language.""
""our work aims at precise reasoning, good interpretability of models, and perfect performances on small dataset (1k)""
""We redefine textual reasoning as a sequential decision-making problem, and solve it with reinforcement learning (RL). ""
""we generate symbolic relational tuples to take part in external reasoning process.""
"
ar,\cite{Chaturvedi2019264},Fuzzy commonsense reasoning for multimodal sentiment analysis,,B47SSE6P,10.1016/j.patrec.2019.04.024,Pattern Recognition Letters,2019,Sentiment analysis,classification,supervised,multi-modal sentiment analysis. The computational cost is reduced by projecting the feature embeddings onto a 4 dimentional affective space. Accuracy is increased by the use of fuzzy rules.,"Convolutional Fuzzy Sentiment Classifier (CFSN). in this paper we use a low-dimensional RNN to classify concepts learned via deep learning. By projecting temporal features onto AffectiveSpace, we are able to interpret the features learned. Lastly, we take into account that most sentences have mixed emotions such as sarcasm that can only be modeled effectively using fuzzy membership functions. Hence, we predict the final accuracy of the classifier using fuzzy blending over each pair of simple emotions",,"fuzzy logic,
fuzzy neural network (FNN),
logical connectives","convolutional neural network (CNN),
recurrent neural network (RNN),
deep belief network (DBN)",nested,2. Symbolic[Neuro],"multiple, multi-modal",text -> NN -> n-grams -> low-dimenstion ->  RNN -> CDBN (convolutional deep belief network) -> Fuzzy Logic calssification,Accuracy,10-20% accuracy improvement over baselines,0.78,"Not strictly text input. Text is only part of the input, and has been converted using pretrained embeddings. sentiment analysis. includes text datasets. This pipeline includes selection of logical connectives at the input phase, and a fuzzy logic classifier at the output phase.",,FALSE,FALSE,logical,explicit,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,better than baselines,,"Reasoning is only mentioned in the title
AffectiveSpace - see also Hussain20181662
""AffectiveSpace [8], a vector space model of commonsense concepts such as ‘beautiful painting’ or ‘poor writing’ [9].""
here transferability pertains to different languages rather than different domains, and addresses the issue of the lack of annotations in other languages, in particular, Spanish.
The authors use fuzzy logic to classify sentences with emotions. This is the symbolic part, as it requires incorporating explicit membership functions (which are leanred). "
