Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Sponsors,Conference name,Conference date,Conference location,Conference code,Document Type,Publication Stage,Open Access,Source,EID
"Zoph B., Vasudevan V., Shlens J., Le Q.V.","57156654400;57202537142;8632398500;12140898300;","Learning Transferable Architectures for Scalable Image Recognition",2018,"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition",,,"8579005","8697","8710",,1507,"10.1109/CVPR.2018.00907","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062864819&doi=10.1109%2fCVPR.2018.00907&partnerID=40&md5=9cc7779a086dc894416a7ace38dab4a3","Developing neural network image classification models often requires significant architecture engineering. In this paper, we study a method to learn the model architectures directly on the dataset of interest. As this approach is expensive when the dataset is large, we propose to search for an architectural building block on a small dataset and then transfer the block to a larger dataset. The key contribution of this work is the design of a new search space (which we call the 'NASNet search space') which enables transferability. In our experiments, we search for the best convolutional layer (or 'cell') on the CIFAR-10 dataset and then apply this cell to the ImageNet dataset by stacking together more copies of this cell, each with their own parameters to design a convolutional architecture, which we name a 'NASNet architecture'. We also introduce a new regularization technique called ScheduledDropPath that significantly improves generalization in the NASNet models. On CIFAR-10 itself, a NASNet found by our method achieves 2.4% error rate, which is state-of-the-art. Although the cell is not searched for directly on ImageNet, a NASNet constructed from the best cell achieves, among the published works, state-of-the-art accuracy of 82.7% top-1 and 96.2% top-5 on ImageNet. Our model is 1.2% better in top-1 accuracy than the best human-invented architectures while having 9 billion fewer FLOPS - a reduction of 28% in computational demand from the previous state-of-the-art model. When evaluated at different levels of computational cost, accuracies of NASNets exceed those of the state-of-the-art human-designed models. For instance, a small version of NASNet also achieves 74% top-1 accuracy, which is 3.1% better than equivalently-sized, state-of-the-art models for mobile platforms. Finally, the image features learned from image classification are generically useful and can be transferred to other computer vision problems. On the task of object detection, the learned features by NASNet used with the Faster-RCNN framework surpass state-of-the-art by 4.0% achieving 43.1% mAP on the COCO dataset. © 2018 IEEE.",,"Cells; Computer vision; Convolution; Cytology; Image recognition; Large dataset; Network architecture; Object detection; Architectural buildings; Architecture engineering; Classification models; Computational costs; Computational demands; Computer vision problems; Model architecture; Regularization technique; Image classification",,"31st Meeting of the IEEE/CVF Conference on Computer Vision and Pattern Recognition, CVPR 2018","18 June 2018 through 22 June 2018",,143811,Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85062864819
"Mintz M., Bills S., Snow R., Jurafsky D.","","Distant supervision for relation extraction without labeled data",2009,"Proceedings of the Joint Conference of the 47th Annual Meeting of the ACL and the 4th International Joint Conference on Natural Language Processing of the AFNLP",,,,"1003","1011",,1484,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-77957863090
"Tsochantaridis I., Joachims T., Hofmann T., Altun Y.","6508296014;6602804136;56735589800;14041321400;","Large margin methods for structured and interdependent output variables",2005,"Journal of Machine Learning Research","6",,,"","",32,1442,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-24944537843&partnerID=40&md5=67e4cdafba56b0d655b6e349d1872674","Learning general functional dependencies between arbitrary input and output spaces is one of the key challenges in computational intelligence. While recent progress in machine learning has mainly focused on designing flexible and powerful input representations, this paper addresses the complementary issue of designing classification algorithms that can deal with more complex outputs, such as trees, sequences, or sets. More generally, we consider problems involving multiple dependent output variables, structured output spaces, and classification problems with class attributes. In order to accomplish this, we propose to appropriately generalize the well-known notion of a separation margin and derive a corresponding maximum-margin formulation. While this leads to a quadratic program with a potentially prohibitive, i.e. exponential, number of constraints, we present a cutting plane algorithm that solves the optimization problem in polynomial time for a large class of problems. The proposed method has important applications in areas such as computational biology, natural language processing, information retrieval/extraction, and optical character recognition. Experiments from various domains involving different types of output spaces emphasize the breadth and generality of our approach.",,"Algorithms; Artificial intelligence; Classification (of information); Information retrieval; Natural language processing systems; Optical character recognition; Optimization; Polynomials; Problem solving; Set theory; Trees (mathematics); Classification algorithms; Computational biology; Interdependent output variables; Large margin methods; Learning systems",,,,,,Article,"Final","",Scopus,2-s2.0-24944537843
"Kingma D., Ba J.","","""Adam: A Method for Stochastic Optimization""",0000,"Adam: A Method for Stochastic Optimization",,,,"","",,1439,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-84950982946
"Sennrich R., Haddow B., Birch A.","36474235300;8583975100;35263632000;","Neural machine translation of rare words with subword units",2016,"54th Annual Meeting of the Association for Computational Linguistics, ACL 2016 - Long Papers","3",,,"1715","1725",,1382,"10.18653/v1/p16-1162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011827221&doi=10.18653%2fv1%2fp16-1162&partnerID=40&md5=535e3d4ab018357fbc86b60be458aeea","Neural machine translation (NMT) models typically operate with a fixed vocabulary, but translation is an open-vocabulary problem. Previous work addresses the translation of out-of-vocabulary words by backing off to a dictionary. In this paper, we introduce a simpler and more effective approach, making the NMT model capable of open-vocabulary translation by encoding rare and unknown words as sequences of subword units. This is based on the intuition that various word classes are translatable via smaller units than words, for instance names (via character copying or transliteration), compounds (via compositional translation), and cognates and loanwords (via phonological and morphological transformations). We discuss the suitability of different word segmentation techniques, including simple character ngram models and a segmentation based on the byte pair encoding compression algorithm, and empirically show that subword models improve over a back-off dictionary baseline for the WMT 15 translation tasks English→German and English→Russian by up to 1.1 and 1.3 Bleu, respectively. © 2016 Association for Computational Linguistics.",,"Computer aided language translation; Encoding (symbols); Signal encoding; Byte-pair encoding; Compositional translation; Compression algorithms; Effective approaches; Machine translations; Morphological transformations; Out of vocabulary words; Word segmentation; Computational linguistics","Amazon;Baidu;Bloomberg;et al.;Facebook;Google","54th Annual Meeting of the Association for Computational Linguistics, ACL 2016","7 August 2016 through 12 August 2016",,125782,Conference Paper,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85011827221
"Pickering M.J., Garrod S.","7006461382;7004121632;","Toward a mechanistic psychology of dialogue",2004,"Behavioral and Brain Sciences","27","2",,"169","190",,1374,"10.1017/s0140525x04000056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-12744262642&doi=10.1017%2fs0140525x04000056&partnerID=40&md5=17605729f2e1250166d57aa38d01dd4f","Traditional mechanistic accounts of language processing derive almost entirely from the study of monologue. Yet, the most natural and basic form of language use is dialogue. As a result, these accounts may only offer limited theories of the mechanisms that underlie language processing in general. We propose a mechanistic account of dialogue, the interactive alignment account, and use it to derive a number of predictions about basic language processes. The account assumes that, in dialogue, the linguistic representations employed by the interlocutors become aligned at many levels, as a result of a largely automatic process. This process greatly simplifies production and comprehension in dialogue. After considering the evidence for the interactive alignment model, we concentrate on three aspects of processing that follow from it. It makes use of a simple interactive inference mechanism, enables the development of local dialogue routines that greatly simplify language processing, and explains the origins of self-monitoring in production. We consider the need for a grammatical framework that is designed to deal with language in dialogue rather than monologue, and discuss a range of implications of the account. © 2004 Cambridge University Press.","Common ground; Dialogue; Dialogue routines; Language comprehension; Language production; Monitoring; Perception-behavior link","article; auditory discrimination; autonomic nervous system function; cognition; comprehension; conversation; coordination; experimental model; health status; interpersonal communication; language ability; maze test; mental function; mental health; nerve conduction; phonetics; prediction; reading; self monitoring; semantics; social interaction; speech articulation; speech discrimination; speech intelligibility; theory; human; human relation; language; linguistics; mental function; psychological theory; review; speech; systems theory; Humans; Interpersonal Relations; Language; Mental Processes; Psycholinguistics; Psychological Theory; Speech; Systems Theory",,,,,,Article,"Final","All Open Access, Green",Scopus,2-s2.0-12744262642
"Rossi F., van Beek P., Walsh T.","",[No title available],2006,"Handbook of Constraint Programming",,,,"","",,1334,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-33748706709
"Mikolov T., Sutskever I., Chen K., Corrado G., Dean J.","","Distributed representations of words and phrases and their compositionality. In: Conference on Advances in Neural Information Processing Systems",2013,"Distributed Representations of Words and Phrases and Their Compositionality",,,,"3111","3119",,1323,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-84902100258
"Pang B., Lee L.","8644537200;7404389769;","Seeing stars: Exploiting class relationships for sentiment categorization with respect to rating scales",2005,"ACL-05 - 43rd Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference",,,,"115","124",,1265,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859895244&partnerID=40&md5=ad0a999b1a746a5ebfdd039844757330","We address the rating-inference problem, wherein rather than simply decide whether a review is .thumbs up. or .thumbs down., as in previous sentiment analysis work, one must determine an author's evaluation with respect to a multi-point scale (e.g., one to five .stars.). This task represents an interesting twist on standard multi-class text categorization because there are several different degrees of similarity between class labels; for example, .three stars. is intuitively closer to .four stars. than to .one star.. We first evaluate human performance at the task. Then, we apply a metaalgorithm, based on a metric labeling formulation of the problem, that alters a given n-ary classifier's output in an explicit attempt to ensure that similar items receive similar labels. We show that the meta-algorithm can provide significant improvements over both multi-class and regression versions of SVMs when we employ a novel similarity measure appropriate to the problem. © 2005 Association for Computational Linguistics.",,"Class labels; Class relationship; Human performance; Metric labeling; Multi-class; Rating scale; Sentiment analysis; Similarity measure; Text categorization; Computational linguistics; Rating; Text processing; Stars",,"43rd Annual Meeting of the Association for Computational Linguistics, ACL-05","25 June 2005 through 30 June 2005","Ann Arbor, MI",89385,Conference Paper,"Final","",Scopus,2-s2.0-84859895244
"Luong M.-T., Pham H., Manning C.D.","","Effective approaches to attention-based neural machine translation",2015,"Effective Approaches to Attention-based Neural Machine Translation",,,,"","",,1257,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-84994358876
"Jolliffe I.","",[No title available],2005,"Principal Component Analysis",,,,"","",,1255,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-84887397359
"Go A., Bhayani R., Huang L.","","Twitter sentiment classification using distant supervision",2009,"Twitter Sentiment Classification Using Distant Supervision",,,,"","",,1254,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-79953762206
"Clark H.H., Wilkes-Gibbs D.","7202405686;6507473491;","Referring as a collaborative process",1986,"Cognition","22","1",,"1","39",,1242,"10.1016/0010-0277(86)90010-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022671781&doi=10.1016%2f0010-0277%2886%2990010-7&partnerID=40&md5=1d1bf0a7b8357ecf8d49f22c06fa685e","In conversation, speakers and addressees work together in the making of a definite reference. In the model we propose, the speaker initiates the process by presenting or inviting a noun phrase. Before going on to the next contribution, the participants, if necessary, repair, expand on, or replace the noun phrase in an iterative process until they reach a version they mutually accept. In doing so they try to minimize their joint effort. The preferred procedure is for the speaker to present a simple noun phrase and for the addressee to accept it by allowing the next contribution to begin. We describe a communication task in which pairs of people conversed about arranging complex figures and show how the proposed model accounts for many features of the references they produced. The model follows, we suggest, from the mutual responsibility that participants in conversation bear toward the understanding of each utterance. © 1986.",,"article; human; human relation; interpersonal communication; linguistics; model; speech; Communication; Human; Interpersonal Relations; Linguistics; Models, Psychological; Speech; Support, Non-U.S. Gov't; Support, U.S. Gov't, Non-P.H.S.; Support, U.S. Gov't, P.H.S.",,,,,,Article,"Final","",Scopus,2-s2.0-0022671781
"Aho A.V., Ullman J.D.","",[No title available],1972,"The Theory of Parsing, Translation and Compiling","1",,,"","",,1230,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0003791899
"Ijspeert A.J.","7003779012;","Central pattern generators for locomotion control in animals and robots: A review",2008,"Neural Networks","21","4",,"642","653",,1222,"10.1016/j.neunet.2008.03.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-40049092971&doi=10.1016%2fj.neunet.2008.03.014&partnerID=40&md5=0845bdcceeddb5ad2b068daf31730033","The problem of controlling locomotion is an area in which neuroscience and robotics can fruitfully interact. In this article, I will review research carried out on locomotor central pattern generators (CPGs), i.e. neural circuits capable of producing coordinated patterns of high-dimensional rhythmic output signals while receiving only simple, low-dimensional, input signals. The review will first cover neurobiological observations concerning locomotor CPGs and their numerical modelling, with a special focus on vertebrates. It will then cover how CPG models implemented as neural networks or systems of coupled oscillators can be used in robotics for controlling the locomotion of articulated robots. The review also presents how robots can be used as scientific tools to obtain a better understanding of the functioning of biological CPGs. Finally, various methods for designing CPGs to control specific modes of locomotion will be briefly reviewed. In this process, I will discuss different types of CPG models, the pros and cons of using CPGs with robots, and the pros and cons of using robots as scientific tools. Open research topics both in biology and in robotics will also be discussed. © 2008 Elsevier Ltd. All rights reserved.","Central pattern generators; Computational models; Dynamical systems; Locomotion; Neural networks; Robots; Systems of coupled oscillators","Animals; Architectural design; Artificial intelligence; Automation; Biomechanics; Biped locomotion; Computer networks; Metropolitan area networks; Network protocols; Neural networks; Numerical methods; Oscillators (electronic); Pigments; Robots; (2+1)-dimensional; (e ,3e) process; Articulated robots; Central Pattern Generators (CPG); Coordinated patterns; Coupled oscillators; Different types; Elsevier (CO); High-dimensional; input signals; Locomotion control; Modes of locomotion; Neural circuits; Numerical modelling; Output signals; Research topics; Robotics; article; generator; locomotion; mathematical model; neurobiology; nonhuman; oscillator; priority journal; robotics; signal processing; vertebrate; Animals; Biological Clocks; Central Nervous System; Humans; Locomotion; Movement; Nerve Net; Neural Networks (Computer); Neural Pathways; Neurosciences; Robotics",,,,,,Article,"Final","",Scopus,2-s2.0-40049092971
"Smolensky P.","","Information processing in dynamical systems: Foundations of harmony theory",1986,"Parallel Distributed Processing: Explorations in the Microstructure of Cognition","1",,,"194","281",,1212,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0000329993
"Medhat W., Hassan A., Korashy H.","56173896900;57217371978;56173070900;","Sentiment analysis algorithms and applications: A survey",2014,"Ain Shams Engineering Journal","5","4",,"1093","1113",,1192,"10.1016/j.asej.2014.04.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919491355&doi=10.1016%2fj.asej.2014.04.011&partnerID=40&md5=2634a461826a2d90229fe0e28b6a8280","Sentiment Analysis (SA) is an ongoing field of research in text mining field. SA is the computational treatment of opinions, sentiments and subjectivity of text. This survey paper tackles a comprehensive overview of the last update in this field. Many recently proposed algorithms' enhancements and various SA applications are investigated and presented briefly in this survey. These articles are categorized according to their contributions in the various SA techniques. The related fields to SA (transfer learning, emotion detection, and building resources) that attracted researchers recently are discussed. The main target of this survey is to give nearly full image of SA techniques and the related fields with brief details. The main contributions of this paper include the sophisticated categorizations of a large number of recent articles and the illustration of the recent trend of research in the sentiment analysis and its related areas. © 2014 Production and hosting by Elsevier B.V.","Building resources; Emotion detection; Feature selection; Sentiment analysis; Sentiment classification; Transfer learning","Feature extraction; Sentiment analysis; Analysis algorithms; Emotion detection; Recent trends; Sentiment classification; Text mining; Transfer learning; Surveys",,,,,,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-84919491355
"Derrida J.","",[No title available],1973,"Speech and Phenomena and Other Essays on Husserl's Theory of Signs",,,,"","",,1153,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0003667368
"Zaremba W., Sutskever I., Vinyals O.","",[No title available],2014,"Recurrent Neural Network Regularization",,,,"","",,1152,,,[No abstract available],,,,,,,,,"Final","",Scopus,2-s2.0-84944053926
"Douglas B.L.","57190036381;","CYC: A Large-Scale Investment in Knowledge Infrastructure",1995,"Communications of the ACM","38","11",,"33","38",,1143,"10.1145/219717.219745","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029410109&doi=10.1145%2f219717.219745&partnerID=40&md5=cb61873621300b5942fa1ec5aae462c9",[No abstract available],,"Artificial intelligence; Automation; Database systems; Information retrieval; Information technology; Knowledge based systems; Knowledge engineering; Knowledge representation; Large scale systems; Learning systems; Natural language processing systems; Word processing; Knowledge infrastructure; Natural language understanding; Reasoning; Expert systems",,,,,,Article,"Final","All Open Access, Green",Scopus,2-s2.0-0029410109
"Myers I.B.","",[No title available],1962,"Myers-Briggs Type Indicator",,,,"","",,1141,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0003595680
"Sukhbaatar S., Szlam A., Weston J., Fergus R.","55669357500;11539079600;8865128200;14821791600;","End-to-end memory networks",2015,"Advances in Neural Information Processing Systems","2015-January",,,"2440","2448",,1139,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965143740&partnerID=40&md5=05de00797a59096d7a267804d925c93b","We introduce a neural network with a recurrent attention model over a possibly large external memory. The architecture is a form of Memory Network [23] but unlike the model in that work, it is trained end-to-end, and hence requires significantly less supervision during training, making it more generally applicable in realistic settings. It can also be seen as an extension of RNNsearch [2] to the case where multiple computational steps (hops) are performed per output symbol. The flexibility of the model allows us to apply it to tasks as diverse as (synthetic) question answering [22] and to language modeling. For the former our approach is competitive with Memory Networks, but with less supervision. For the latter, on the Penn TreeBank and Text8 datasets our approach demonstrates comparable performance to RNNs and LSTMs. In both cases we show that the key concept of multiple computational hops yields improved results.",,"Information science; Natural language processing systems; Attention model; End to end; External memory; Language model; Memory network; Question Answering; Treebanks; Modeling languages","et al.;Google, Inc.;Ketchum Trading;Microsoft;Taobao (China) Software Co., Ltd. (Alibaba);Twitter","29th Annual Conference on Neural Information Processing Systems, NIPS 2015","7 December 2015 through 12 December 2015",,120037,Conference Paper,"Final","",Scopus,2-s2.0-84965143740
"Lin Y., Liu Z., Sun M., Liu Y., Zhu X.","57155321900;55714725800;7403180987;57196311263;56172608200;","Learning entity and relation embeddings for knowledge graph completion",2015,"Proceedings of the National Conference on Artificial Intelligence","3",,,"2181","2187",,1122,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959863917&partnerID=40&md5=4f601ea69c685e55a17ee25d2910db94","Knowledge graph completion aims to perform link prediction between entities. In this paper, we consider the approach of knowledge graph embeddings. Recently, models such as TransE and TransH build entity and relation embeddings by regarding a relation as translation from head entity to tail entity. We note that these models simply put both entities and relations within the same semantic space. In fact, an entity may have multiple aspects and various relations may focus on different aspects of entities, which makes a common space insufficient for modeling. In this paper, we propose TransR to build entity and relation embeddings in separate entity space and relation spaces. Afterwards, we learn embeddings by first projecting entities from entity space to corresponding relation space and then building translations between projected entities. In experiments, we evaluate our models on three tasks including link prediction, triple classification and relational fact extraction. Experimental results show significant and consistent improvements compared to state-of-the-art baselines including TransE and TransH. The source code of this paper can be obtained from https://github.com/mrlyk423/relation-extraction. © Copyright 2015, Association for the Advancement of Artificial Intelligence (www.aaa1.org). All rights reserved.",,"Semantics; Common spaces; Corresponding relations; Fact extraction; Knowledge graphs; Link prediction; Semantic Space; Source codes; State of the art; Artificial intelligence","AI Journal;Association for the Advancement of Artificial Intelligence (AAAI);Baidu;et al.;Infosys;National Science Foundation","29th AAAI Conference on Artificial Intelligence, AAAI 2015 and the 27th Innovative Applications of Artificial Intelligence Conference, IAAI 2015","25 January 2015 through 30 January 2015",,114360,Conference Paper,"Final","",Scopus,2-s2.0-84959863917
"Rajpurkar P., Zhang J., Lopyrev K., Liang P.","57056352800;57211160729;57211155731;56646712700;","SQuad: 100,000+ questions for machine comprehension of text",2016,"EMNLP 2016 - Conference on Empirical Methods in Natural Language Processing, Proceedings",,,,"2383","2392",,1085,"10.18653/v1/d16-1264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071396128&doi=10.18653%2fv1%2fd16-1264&partnerID=40&md5=1f3910cbbfd2e7859f54a4bc41e9b8f9","We present the Stanford Question Answering Dataset (SQuAD), a new reading comprehension dataset consisting of 100,000+ questions posed by crowdworkers on a set of Wikipedia articles, where the answer to each question is a segment of text from the corresponding reading passage. We analyze the dataset to understand the types of reasoning required to answer the questions, leaning heavily on dependency and constituency trees. We build a strong logistic regression model, which achieves an F1 score of 51.0%, a significant improvement over a simple baseline (20%). However, human performance (86.8%) is much higher, indicating that the dataset presents a good challenge problem for future research. The dataset is freely available at https://stanford-qa.com. © 2016 Association for Computational Linguistics",,"Regression analysis; Challenge problems; F1 scores; Human performance; Logistic Regression modeling; Question Answering; Reading comprehension; Stanford; Wikipedia articles; Natural language processing systems","Amazon.com;Baidu;et al.;Google;Grammarly;Microsoft","2016 Conference on Empirical Methods in Natural Language Processing, EMNLP 2016","1 November 2016 through 5 November 2016",,150070,Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85071396128
"Bengio Y., Louradour J., Collobert R., Weston J.","7003958245;35612099600;14064641400;8865128200;","Curriculum learning",2009,"Proceedings of the 26th International Conference On Machine Learning, ICML 2009",,,,"41","48",,1075,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-71149116544&partnerID=40&md5=5a497924eb12b0202bcb80b713ca89a4","Humans and animals learn much better when the examples are not randomly presented but organized in a meaningful order which illustrates gradually more concepts, and gradually more complex ones. Here, we formalize such training strategies in the context of machine learning, and call them ""curriculum learning"". In the context of recent research studying the difficulty of training in the presence of non-convex training criteria (for deep deterministic and stochastic neural networks), we explore curriculum learning in various set-ups. The experiments show that significant improvements in generalization can be achieved. We hypothesize that curriculum learning has both an effect on the speed of convergence of the training process to a minimum and, in the case of non-convex criteria, on the quality of the local minima obtained: curriculum learning can be seen as a particular form of continuation method (a general strategy for global optimization of non-convex functions).",,"Continuation method; Local minimums; Machine-learning; Nonconvex functions; Set-ups; Speed of convergence; Stochastic neural network; Training process; Training strategy; Animals; Global optimization; Neural networks; Robot learning; Curricula",,"26th International Conference On Machine Learning, ICML 2009","14 June 2009 through 18 June 2009","Montreal, QC",78500,Conference Paper,"Final","",Scopus,2-s2.0-71149116544
"Godfrey J.J., Holliman E.C., McDaniel J.","7102768096;6506677514;57194279142;","SWITCHBOARD: Telephone speech corpus for research and development",1992,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings","1",,"225858","517","520",,1063,"10.1109/ICASSP.1992.225858","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016587886&doi=10.1109%2fICASSP.1992.225858&partnerID=40&md5=830dd451d31c9679e487017e398107f2","SWITCHBOARD is a large multispeaker corpus of conversational speech and text which should be of interest to researchers in speaker authentication and large vocabulary speech recognition. About 2500 conversations by 500 speakers from around the U.S. were collected automatically over T1 lines at Texas Instruments. Designed for training and testing of a variety of speech processing algorithms, especially in speaker verification, it has over an hour of speech from each of 50 speakers, and several minutes each from hundreds of others. A time-aligned word for word transcription accompanies each recording. © 1992 IEEE.",,"Audio signal processing; Character recognition; Electric switchboards; Signal processing; Speech; Speech communication; Speech processing; Conversational speech; Large vocabulary speech recognition; Processing algorithms; Research and development; Speaker verification; Telephone speech; Texas Instruments; Training and testing; Speech recognition","","1992 International Conference on Acoustics, Speech, and Signal Processing, ICASSP 1992","23 March 1992 through 26 March 1992",,127735,Conference Paper,"Final","",Scopus,2-s2.0-85016587886
"Niles I., Pease A.","6506475470;7004582448;","Towards a standard upper ontology",2001,"Formal Ontology in Information Systems: Collected Papers from the Second International Conference",,,,"2","9",,1056,"10.1145/505168.505170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035789772&doi=10.1145%2f505168.505170&partnerID=40&md5=73b4f896fe221f38e67e7a4ff0b97625","The Suggested Upper Merged Ontology (SUMO) is an upper level ontology that has been proposed as a starter document for The Standard Upper Ontology Working Group, an IEEE-sanctioned working group of collaborators from the fields of engineering, philosophy, and information science. The SUMO provides definitions for general-purpose terms and acts as a foundation for more specific domain ontologies. In this paper we outline the strategy used to create the current version of the SUMO, discuss some of the challenges that we faced in constructing the ontology, and describe in detail its most general concepts and the relations between them.","Knowledge Interchange Format; Ontologies","Computer software; Knowledge based systems; Knowledge representation; Semantics; World Wide Web; Ontology; Artificial intelligence","ACM/SIGART","Formal Ontology in Information Systems: Collected Papers from the Second International Conference","17 October 2001 through 19 October 2001","Ogunquit, ME",60894,Conference Paper,"Final","",Scopus,2-s2.0-0035789772
"Wang Z., Zhang J., Feng J., Chen Z.","56393607000;55904683400;55468540400;55574827100;","Knowledge graph embedding by translating on hyperplanes",2014,"Proceedings of the National Conference on Artificial Intelligence","2",,,"1112","1119",,1050,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908213178&partnerID=40&md5=df83ba807091443a9ba70416dc458740","We deal with embedding a large scale knowledge graph composed of entities and relations into a continuous vector space. TransE is a promising method proposed recently, which is very efficient while achieving state-of-the-art predictive performance. We discuss some mapping properties of relations which should be considered in embedding, such as reflexive, one-to-many, many-to-one, and many-to-many. We note that TransE does not do well in dealing with these properties. Some complex models are capable of preserving these mapping properties but sacrifice efficiency in the process. To make a good trade-off between model capacity and efficiency, in this paper we propose TransH which models a relation as a hyperplanc together with a translation operation on it. In this way, we can well preserve the above mapping properties of relations with almost the same model complexity of TransE. Additionally, as a practical knowledge graph is often far from completed, how to construct negative examples to reduce false negative labels in training is very important. Utilizing the one-to-many/many-to-one mapping property of a relation, we propose a simple trick to reduce the possibility of false negative labeling. We conduct extensive experiments on link prediction, triplet classification and fact extraction on benchmark datasets like WordNet and Freebase. Experiments show TransH delivers significant improvements over TransE on predictive accuracy with comparable capability to scale up. Copyright © 2014, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",,"Knowledge graphs","AI Journal;Association for the Advancement of Artificial Intelligence (AAAI);CRA Committee on the Status of Women in Computing Research/ Coalition to Diversify Computing;et al.;Microsoft Research;National Science Foundation","28th AAAI Conference on Artificial Intelligence, AAAI 2014, 26th Innovative Applications of Artificial Intelligence Conference, IAAI 2014 and the 5th Symposium on Educational Advances in Artificial Intelligence, EAAI 2014","27 July 2014 through 31 July 2014",,108517,Conference Paper,"Final","",Scopus,2-s2.0-84908213178
"Socher R., Chen D., Manning C.D., Ng A.Y.","24766896100;56121986100;35280197500;35410071600;","Reasoning with neural tensor networks for knowledge base completion",2013,"Advances in Neural Information Processing Systems",,,,"","",,1029,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898956227&partnerID=40&md5=944be75cf417e1b8dbc7225e7d3d87d8","Knowledge bases are an important resource for question answering and other tasks but often suffer from incompleteness and lack of ability to reason over their discrete entities and relationships. In this paper we introduce an expressive neural tensor network suitable for reasoning over relationships between two entities. Previous work represented entities as either discrete atomic units or with a single entity vector representation. We show that performance can be improved when entities are represented as an average of their constituting word vectors. This allows sharing of statistical strength between, for instance, facts involving the ""Sumatran tiger"" and ""Bengal tiger."" Lastly, we demonstrate that all models improve when these word vectors are initialized with vectors learned from unsupervised large corpora. We assess the model by considering the problem of predicting additional true relations between entities given a subset of the knowledge base. Our model outperforms previous models and can classify unseen relationships in WordNet and FreeBase with an accuracy of 86.2% and 90.0%, respectively.",,"Knowledge based systems; Tensors; Atomic units; Knowledge base; Knowledge basis; Large corpora; Question Answering; Statistical strength; Vector representations; Word vectors; Neural networks","Air Force Office of Scientific Research (AFOSR);Amazon.com;et al.;Facebook;Google;Microsoft Research","27th Annual Conference on Neural Information Processing Systems, NIPS 2013","5 December 2013 through 10 December 2013","Lake Tahoe, NV",104690,Conference Paper,"Final","",Scopus,2-s2.0-84898956227
"Lenat D.B., Guha R.V.","",[No title available],1990,"Building Large Knowledge-Based Systems",,,,"","",,1010,,,[No abstract available],,,,,,,,,,"",Scopus,2-s2.0-0004053085
"Strapparava C., Valitutti A.","6602773549;23390897000;","WordNet-Affect: An affective extension of WordNet",2004,"Proceedings of the 4th International Conference on Language Resources and Evaluation, LREC 2004",,,,"1083","1086",,966,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029531951&partnerID=40&md5=144309ff73dea2643bfaaf622230abd7","In this paper we present a linguistic resource for the lexical representation of affective knowledge. This resource (named WordNetAffect) was developed starting from WordNet, through a selection and tagging of a subset of synsets representing the affective meanings.",,"Linguistic resources; Synsets; Wordnet; Ontology","Fundacao Calouste Gulbenkian;Fundacao para a Ciencia e a Tecnologia (FCT);IBM;Microsoft;Porto Editora - Dictionaries Experties;Priberam Informatica","4th International Conference on Language Resources and Evaluation, LREC 2004","26 May 2004 through 28 May 2004",,131721,Conference Paper,"Final","",Scopus,2-s2.0-85029531951
