Key,Item Type,Publication Year,Author,Title,Abstract Note,Publication Title,DOI,Url,Date,Date Added,Date Modified
HY5JG733,journalArticle,2012,"Chang, P.-C.; Lin, J.-J.; Liu, C.-H.",An attribute weight assignment and particle swarm optimization algorithm for medical database classifications,"In this research, a hybrid model is developed by integrating a case-based reasoning approach and a particle swarm optimization model for medical data classification. Two data sets from UCI Machine Learning Repository, i.e., Liver Disorders Data Set and Breast Cancer Wisconsin (Diagnosis), are employed for benchmark test. Initially a case-based reasoning method is applied to preprocess the data set thus a weight vector for each feature is derived. A particle swarm optimization model is then applied to construct a decision-making system for diseases identified. The PSO algorithm starts by partitioning the data set into a relatively large number of clusters to reduce the effects of initial conditions and then reducing the number of clusters into two. The average forecasting accuracy for breast cancer of CBRPSO model is 97.4% and for liver disorders is 76.8%. The proposed case-based particle swarm optimization model is able to produce more accurate and comprehensible results for medical experts in medical diagnosis. © 2010 Elsevier Ireland Ltd.",Computer Methods and Programs in Biomedicine,10.1016/j.cmpb.2010.12.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863879044&doi=10.1016%2fj.cmpb.2010.12.004&partnerID=40&md5=116b18be3c04ca6250b548a09ace17c6,2012,2021-07-20 15:48:58,2021-07-20 15:48:58
DEL9KI7L,journalArticle,2017,"Nayebi, M.; Kabeer, S.J.; Ruhe, G.; Carlson, C.; Chew, F.",Hybrid Labels Are the New Measure!,"Developing minimum viable products (MVPs) is critical for start-up companies to hit the market fast with an accepted level of performance. The US Food and Drug Administration mandates additional nonfunctional requirements in healthcare systems, meaning that the MVP should provide the best availability, privacy, and security. This critical demand is motivating companies to further rely on analytics to optimize the development process. In a collaborative project with Brightsquid, the authors provided a decision-support system based on analogical reasoning to assist in effort estimation, scoping, and assignment of change requests. This experience report proposes a new metric, change request labels, for better prediction. Using different methods for textual-similarity analysis, the authors found that the combination of machine-learning techniques with experts' manually added labels has the highest prediction accuracy. Better prediction of change impacts allows a company to optimize its resources and provide proper timing of releases to target MVPs. This article is part of a special issue on Actionable Analytics for Software Engineering. © 1984-2012 IEEE.",IEEE Software,10.1109/MS.2017.4541048,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040312234&doi=10.1109%2fMS.2017.4541048&partnerID=40&md5=df248e20ecf9dd6584e9b2393af3fc90,2017,2021-07-20 15:48:58,2021-07-20 15:48:58
5RXJR4YB,journalArticle,2017,"Ko, T.; Hyuk Lee, J.; Cho, H.; Cho, S.; Lee, W.; Lee, M.","Machine learning-based anomaly detection via integration of manufacturing, inspection and after-sales service data","Purpose - Quality management of products is an important part of manufacturing process. One way to manage and assure product quality is to use machine learning algorithms based on relationship among various process steps. The purpose of this paper is to integrate manufacturing, inspection and after-sales service data to make full use of machine learning algorithms for estimating the products' quality in a supervised fashion. Proposed frameworks and methods are applied to actual data associated with heavy machinery engines. Design/methodology/approach - By following Lenzerini's formula, manufacturing, inspection and aftersales service data from various sources are integrated. The after-sales service data are used to label each engine as normal or abnormal. In this study, one-class classification algorithms are used due to class imbalance problem. To address multi-dimensionality of time series data, the symbolic aggregate approximation algorithm is used for data segmentation. Then, binary genetic algorithm-based wrapper approach is applied to segmented data to find the optimal feature subset. Findings - By employing machine learning-based anomaly detection models, an anomaly score for each engine is calculated. Experimental results show that the proposed method can detect defective engines with a high probability before they are shipped. Originality/value - Through data integration, the actual customer-perceived quality from after-sales service is linked to data from manufacturing and inspection process. In terms of business application, data integration and machine learning-based anomaly detection can help manufacturers establish quality management policies that reflect the actual customer-perceived quality by predicting defective engines.",Industrial Management and Data Systems,10.1108/IMDS-06-2016-0195,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019623490&doi=10.1108%2fIMDS-06-2016-0195&partnerID=40&md5=5e25031304522921996158e7471b7045,2017,2021-07-20 15:48:58,2021-07-20 15:48:58
URNQLME2,journalArticle,2021,"Wei, X.; Yang, Z.; Zhang, X.; Liao, G.; Sheng, A.; Kevin Zhou, S.; Wu, Y.; Du, L.",Deep Collocative Learning for Immunofixation Electrophoresis Image Analysis,"Immunofixation Electrophoresis (IFE) analysis is of great importance to the diagnosis of Multiple Myeloma, which is among the top-9 cancer killers in the United States, but has rarely been studied in the context of deep learning. Two possible reasons are: 1) the recognition of IFE patterns is dependent on the co-location of bands that forms a binary relation, different from the unary relation (visual features to label) that deep learning is good at modeling; 2) deep classification models may perform with high accuracy for IFE recognition but is not able to provide firm evidence (where the co-location patterns are) for its predictions, rendering difficulty for technicians to validate the results. We propose to address these issues with collocative learning, in which a collocative tensor has been constructed to transform the binary relations into unary relations that are compatible with conventional deep networks, and a location-label-free method that utilizes the Grad-CAM saliency map for evidence backtracking has been proposed for accurate localization. In addition, we have proposed Coached Attention Gates that can regulate the inference of the learning to be more consistent with human logic and thus support the evidence backtracking. The experimental results show that the proposed method has obtained a performance gain over its base model ResNet18 by 741.30% in IoU and also outperformed popular deep networks of DenseNet, CBAM, and Inception-v3. IEEE",IEEE Transactions on Medical Imaging,10.1109/TMI.2021.3068404,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103258882&doi=10.1109%2fTMI.2021.3068404&partnerID=40&md5=3e830863e1e5140a390179d89dab3609,2021,2021-07-20 15:48:58,2021-07-20 15:48:58
A6DWFY9T,journalArticle,2019,"Han, Z.; Liang, J.",The Analysis of Node Planning and Control Logic Optimization of 5G Wireless Networks under Deep Mapping Learning Algorithms,"In order to meet the needs of blowout growth of data flow and 10-100 times increase of user experience rate, the next generation mobile communication(5G) heterogeneous network deployment will use ultra-dense network. Accurate fault location is the basis of slice management. In virtualized network model, the function of network elements is software, the underlying layer is highly abstract, the structure changes dynamically, and common cause faults occur frequently, which brings difficulties to fault location. Deep Learning is a machine Learning method that USES Deep Neural Network (DNN) with multiple hidden layers to complete Learning tasks. The essence is that by building a neural network model with multiple hidden layers and using a large amount of training data to learn more useful features, the accuracy of model prediction or classification can be improved. Based on the theory of deep mapping learning algorithm, a scheduling algorithm based on event-driven access point, improved time-driven access point and idle network is designed for centralized wireless network control system. Aiming at the centralized wireless network control system, this paper designs a scheduling algorithm based on event-driven access point, improved time-driven access point and network idleness. The designed sensor network node platform uses the programmable logic controller as the main control chip, contains the data interface module that realizes the communication function between the node and the upper computer, and the acquisition and conditioning module responsible for the collection and conditioning and conversion of the analog signal. At the same time, the TCP and UDP are compared and studied. The accuracy of the model is verified, and the interference distribution of the model and the influence of the D2D inter-pair distance on the system performance are simulated. The distance between the D2D pairs under the given simulation parameters has a certain influence on the system performance. As the distance increases, the system performance will deteriorate, but the impact is not a big conclusion. © 2013 IEEE.",IEEE Access,10.1109/ACCESS.2019.2949631,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074701182&doi=10.1109%2fACCESS.2019.2949631&partnerID=40&md5=f09aaa26d9bdb50652ea6556ede9ac6a,2019,2021-07-20 15:48:58,2021-07-20 15:48:58
PCB97HVL,journalArticle,2013,"Bresso, E.; Grisoni, R.; Marchetti, G.; Karaboga, A.S.; Souchet, M.; Devignes, M.-D.; Smaïl-Tabbone, M.",Integrative relational machine-learning for understanding drug side-effect profiles,"Background: Drug side effects represent a common reason for stopping drug development during clinical trials. Improving our ability to understand drug side effects is necessary to reduce attrition rates during drug development as well as the risk of discovering novel side effects in available drugs. Today, most investigations deal with isolated side effects and overlook possible redundancy and their frequent co-occurrence.Results: In this work, drug annotations are collected from SIDER and DrugBank databases. Terms describing individual side effects reported in SIDER are clustered with a semantic similarity measure into term clusters (TCs). Maximal frequent itemsets are extracted from the resulting drug x TC binary table, leading to the identification of what we call side-effect profiles (SEPs). A SEP is defined as the longest combination of TCs which are shared by a significant number of drugs. Frequent SEPs are explored on the basis of integrated drug and target descriptors using two machine learning methods: decision-trees and inductive-logic programming. Although both methods yield explicit models, inductive-logic programming method performs relational learning and is able to exploit not only drug properties but also background knowledge. Learning efficiency is evaluated by cross-validation and direct testing with new molecules. Comparison of the two machine-learning methods shows that the inductive-logic-programming method displays a greater sensitivity than decision trees and successfully exploit background knowledge such as functional annotations and pathways of drug targets, thereby producing rich and expressive rules. All models and theories are available on a dedicated web site.Conclusions: Side effect profiles covering significant number of drugs have been extracted from a drug ×side-effect association table. Integration of background knowledge concerning both chemical and biological spaces has been combined with a relational learning method for discovering rules which explicitly characterize drug-SEP associations. These rules are successfully used for predicting SEPs associated with new drugs. © 2013 Bresso et al.; licensee BioMed Central Ltd.",BMC Bioinformatics,10.1186/1471-2105-14-207,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879426876&doi=10.1186%2f1471-2105-14-207&partnerID=40&md5=ad337205828c933377b5ab0d54db32bf,2013,2021-07-20 15:48:58,2021-07-20 15:48:58
UR7QDPSE,journalArticle,2021,"Radhika, S.; Rangarajan, P.",Fuzzy Based Sleep Scheduling Algorithm with Machine Learning Techniques to Enhance Energy Efficiency in Wireless Sensor Networks,"Wireless sensor networks, generally, are grouped into clusters to collect information effectively. Such grouping of nodes helps immensely to elongate the life of Wireless Sensor Networks. Message exchanges between nodes for consecutive and periodic clustering overload the sensor nodes and cause a shortfall of energy. Additional overhead during cluster formation, instability in energy use and the difficulty of information sharing during clustering, uncertain network structure, etc. are the current clustering problems. There is also a need to enhance intra-cluster transmission and to find effective methods to extend the network's lifespan. This paper aims to reduce the energy loss of nodes by reducing the message transmission overhead and simplifying the creation and upgrading of clusters to improve the lifespan of the network. A clustering strategy where the cluster is regularly restructured to decrease the overhead on cluster head nodes is also proposed in the paper. The suggested approach reduces data transmission using machine learning by the cluster member nodes and reduces the energy consumption of individual sensor nodes by implementing a suitable active/sleep schedule. To calculate the cluster update cycle and sleep cycle, it also makes use of the advantages of fuzzy logic by selecting appropriate fuzzy descriptors such as average data rate, distance from the head node to the sink and the remaining energy. The proposed approach optimizes the energy utilization of cluster heads and node members thereby enhancing the lifespan of the sensor network. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC part of Springer Nature.",Wireless Personal Communications,10.1007/s11277-021-08167-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100811749&doi=10.1007%2fs11277-021-08167-y&partnerID=40&md5=64694bdd845e362ecad2a17d7cf3d8cd,2021,2021-07-20 15:48:58,2021-07-20 15:48:58
9EWSNTFD,journalArticle,2020,"Yalur, T.",Interperforming in AI: question of ‘natural’ in machine learning and recurrent neural networks,"This article offers a critical inquiry of contemporary neural network models as an instance of machine learning, from an interdisciplinary perspective of AI studies and performativity. It shows the limits on the architecture of these network systems due to the misemployment of ‘natural’ performance, and it offers ‘context’ as a variable from a performative approach, instead of a constant. The article begins with a brief review of machine learning-based natural language processing systems and continues with a concentration on the relevant model of recurrent neural networks, which is applied in most commercial research such as Facebook AI Research. It demonstrates that the logic of performativity is not brought into account in all recurrent nets, which is an integral part of human performance and languaging, and it argues that recurrent network models, in particular, fail to grasp human performativity. This logic works similarly to the theory of performativity articulated by Jacques Derrida in his critique of John L. Austin’s concept of the performative. Applying Jacques Derrida’s work on performativity, and linguistic traces as spatially organized entities that allow for this notion of performance, the article argues that recurrent nets fall into the trap of taking ‘context’ as a constant, of treating human performance as a ‘natural’ fix to be encoded, instead of performative. Lastly, the article applies its proposal more concretely to the case of Facebook AI Research’s Alice and Bob. © 2019, Springer-Verlag London Ltd., part of Springer Nature.",AI and Society,10.1007/s00146-019-00910-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073917651&doi=10.1007%2fs00146-019-00910-1&partnerID=40&md5=5a1a2ebc4727f675b4a9ac453b86aa50,2020,2021-07-20 15:48:58,2021-07-20 15:48:58
98BKP8UY,journalArticle,2012,"Hsieh, S.-L.; Hsieh, S.-H.; Cheng, P.-H.; Chen, C.-H.; Hsu, K.-P.; Lee, I.-S.; Wang, Z.; Lai, F.",Design ensemble machine learning model for breast cancer diagnosis,"In this paper, we classify the breast cancer of medical diagnostic data. Information gain has been adapted for feature selections. Neural fuzzy (NF), k-nearest neighbor (KNN), quadratic classifier (QC), each single model scheme as well as their associated, ensemble ones have been developed for classifications. In addition, a combined ensemble model with these three schemes has been constructed for further validations. The experimental results indicate that the ensemble learning performs better than individual single ones. Moreover, the combined ensemble model illustrates the highest accuracy of classifications for the breast cancer among all models. © 2011 Springer Science+Business Media, LLC.",Journal of Medical Systems,10.1007/s10916-011-9762-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867293214&doi=10.1007%2fs10916-011-9762-6&partnerID=40&md5=5dfee241fa7dee52f0c30f2b01157197,2012,2021-07-20 15:48:58,2021-07-20 15:48:58
8XDDKV39,journalArticle,2021,"Sun, H.; Arndt, D.; De Roo, J.; Mannens, E.",Predicting future state for adaptive clinical pathway management,"Clinical decision support systems are assisting physicians in providing care to patients. However, in the context of clinical pathway management such systems are rather limited as they only take the current state of the patient into account and ignore the possible evolvement of that state in the future. In the past decade, the availability of big data in the healthcare domain did open a new era for clinical decision support. Machine learning technologies are now widely used in the clinical domain, nevertheless, mostly as a tool for disease prediction. A tool that not only predicts future states, but also enables adaptive clinical pathway management based on these predictions is still in need. This paper introduces weighted state transition logic, a logic to model state changes based on actions planned in clinical pathways. Weighted state transition logic extends linear logic by taking weights – numerical values indicating the quality of an action or an entire clinical pathway – into account. It allows us to predict the future states of a patient and it enables adaptive clinical pathway management based on these predictions. We provide an implementation of weighted state transition logic using semantic web technologies, which makes it easy to integrate semantic data and rules as background knowledge. Executed by a semantic reasoner, it is possible to generate a clinical pathway towards a target state, as well as to detect potential conflicts in the future when multiple pathways are coexisting. The transitions from the current state to the predicted future state are traceable, which builds trust from human users on the generated pathway. © 2021 Elsevier Inc.",Journal of Biomedical Informatics,10.1016/j.jbi.2021.103750,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102664726&doi=10.1016%2fj.jbi.2021.103750&partnerID=40&md5=28914ef1af36169d108dd395e132391d,2021,2021-07-20 15:48:59,2021-07-20 15:48:59
SW3IVU8E,journalArticle,2018,"Yang, M.; Tu, W.; Qu, Q.; Zhao, Z.; Chen, X.; Zhu, J.",Personalized response generation by Dual-learning based domain adaptation,"Open-domain conversation is one of the most challenging artificial intelligence problems, which involves language understanding, reasoning, and the utilization of common sense knowledge. The goal of this paper is to further improve the response generation, using personalization criteria. We propose a novel method called PRGDDA (Personalized Response Generation by Dual-learning based Domain Adaptation) which is a personalized response generation model based on theories of domain adaptation and dual learning. During the training procedure, PRGDDA first learns the human responding style from large general data (without user-specific information), and then fine-tunes the model on a small size of personalized data to generate personalized conversations with a dual learning mechanism. We conduct experiments to verify the effectiveness of the proposed model on two real-world datasets in both English and Chinese. Experimental results show that our model can generate better personalized responses for different users. © 2018 Elsevier Ltd",Neural Networks,10.1016/j.neunet.2018.03.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045705590&doi=10.1016%2fj.neunet.2018.03.009&partnerID=40&md5=62c0e7468a872e17eeb031613314833a,2018,2021-07-20 15:48:59,2021-07-20 15:48:59
57N6TFUE,journalArticle,2021,"de Franca, F.O.; de Lima, M.Z.",Interaction-transformation symbolic regression with extreme learning machine,"Symbolic Regression searches for a mathematical expression that fits the input data set by minimizing the approximation error. The search space explored by this technique is composed of any mathematical function representable as an expression tree. This provides more flexibility for fitting the data but it also makes the task more challenging. The search space induced by this representation becomes filled with redundancy and ruggedness, sometimes requiring a higher computational budget in order to achieve good results. Recently, a new representation for Symbolic Regression was proposed, called Interaction-Transformation, which can represent function forms as a composition of interactions between predictors and the application of a single transformation function. In this work, we show how this representation can be modeled as a multi-layer neural network with the weights adjusted following the Extreme Learning Machine procedure. The results show that this approach is capable of finding equally good or better results than the current state-of-the-art with a smaller computational cost. © 2020 Elsevier B.V.",Neurocomputing,10.1016/j.neucom.2020.10.062,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096398409&doi=10.1016%2fj.neucom.2020.10.062&partnerID=40&md5=c1840456235d2e67ef9fd3da83c81969,2021,2021-07-20 15:48:59,2021-07-20 15:48:59
FDFXQTPI,journalArticle,2013,"Chuang, C.-C.; Jeng, J.-T.; Chang, S.-C.",Hausdorff distance measure based interval fuzzy possibilistic c-means clustering algorithm,"Clustering algorithms have been widely used artificial intelligence, data mining and machine learning, etc. It is unsupervised classification and is divided into groups according to data sets. That is, the data sets of similarity partition belong to the same group; otherwise data sets divide other groups in the clustering algorithms. In general, to analysis interval data needs Type II fuzzy logical. Therefore, the interval fuzzy c-means clustering method was proposed to deal with symbolic interval data. However, it still has noisy and outliers problems on these symbolic interval data. Hence, we propose Hausdorff distance measure based interval fuzzy possibilistic c-means clustering algorithm to overcome the interval fuzzy c-means clustering algorithm for the symbolic interval data clustering in noisy and outlier environments. From the simulation results, the proposed Hausdorff distance measure based interval fuzzy possibilistic c-means clustering algorithm has better performance than interval fuzzy c-means clustering algorithm. © 2013 TFSA.",International Journal of Fuzzy Systems,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893648628&partnerID=40&md5=2f94c1a2edbec16ca598013b6859671c,2013,2021-07-20 15:48:59,2021-07-20 15:48:59
VRF6UTTU,journalArticle,2016,"Gennari, R.; Vittorini, P.",Qualitative Temporal Reasoning Can Improve on Temporal Annotation Quality: How and Why,"The analysis of time helps in extracting knowledge from web contents. In order to analyze massive amounts of data, current natural language processing systems rely mainly on supervised approaches: machine learning algorithms that learn how to classify data based on corpora, annotated with the TimeML mark-up language or one of its derivatives. The quality of annotation data, thus, affects the performances of such systems. Quality can be improved by reasoning on temporal annotations. This article takes such a view. After a review of the strictly necessary background, it focuses on and discusses open issues in the area of quality of temporal annotations: inconsistency and incompleteness of annotations. Then it proposes a semantic reasoning approach as solution for improving on their quality, viz., the SOA-based Qualitative Temporal Reasoner for reasoning about temporal annotations, which leverages on existing theories and tools for qualitative reasoning. The article presents the design of the reasoner and its two main reasoning services: consistency checking for tackling inconsistency, and deduction for addressing incompleteness on demand. Afterward, the paper presents an experimental evaluation of the reasoner, sustaining why the chosen semantic reasoning approach can help improve on quality of annotations. The experiment assesses the reasoner’s performances on two different corpora and from several perspectives, e.g., the effectiveness of consistency checking in terms of the number of inconsistent documents found, and of deduction in terms of the number of annotations added. It concludes with discussion of the results of the evaluation and possible routes for future work. © 2016 Taylor & Francis.",Applied Artificial Intelligence,10.1080/08839514.2016.1214360,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994029426&doi=10.1080%2f08839514.2016.1214360&partnerID=40&md5=d9fabb57bad43a4a046804cb6abfba37,2016,2021-07-20 15:48:59,2021-07-20 15:48:59
KD52S268,journalArticle,2021,"Tiger, M.; Bergstrom, D.; Norrstig, A.; Heintz, F.",Enhancing Lattice-Based Motion Planning with Introspective Learning and Reasoning,"Lattice-based motion planning is a hybrid planning method where a plan is made up of discrete actions, while simultaneously also being a physically feasible trajectory. The planning takes both discrete and continuous aspects into account, for example action pre-conditions and collision-free action-duration in the configuration space. Safe motion planning rely on well-calibrated safety-margins for collision checking. The trajectory tracking controller must further be able to reliably execute the motions within this safety margin for the execution to be safe. In this work we are concerned with introspective learning and reasoning about controller performance over time. Normal controller execution of the different actions is learned using machine learning techniques with explicit uncertainty quantification, for safe usage in safety-critical applications. By increasing the model accuracy the safety margins can be reduced while maintaining the same safety as before. Reasoning takes place to both verify that the learned models stays safe and to improve collision checking effectiveness in the motion planner using more accurate execution predictions with a smaller safety margin. The presented approach allows for explicit awareness of controller performance under normal circumstances, and detection of incorrect performance in abnormal circumstances. Evaluation is made on the nonlinear dynamics of a quadcopter in 3D using simulation. © 2016 IEEE.",IEEE Robotics and Automation Letters,10.1109/LRA.2021.3068550,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103258124&doi=10.1109%2fLRA.2021.3068550&partnerID=40&md5=3ca899cf207d4fd29b0e7f784991b42d,2021,2021-07-20 15:48:59,2021-07-20 15:48:59
WKY6S4B3,journalArticle,2019,"Ramírez-Duque, A.A.; Frizera-Neto, A.; Bastos, T.F.",Robot-Assisted Autism Spectrum Disorder Diagnostic Based on Artificial Reasoning,"Autism spectrum disorder (ASD) is a neurodevelopmental disorder that affects people from birth, whose symptoms are found in the early developmental period. The ASD diagnosis is usually performed through several sessions of behavioral observation, exhaustive screening, and manual coding behavior. The early detection of ASD signs in naturalistic behavioral observation may be improved through Child-Robot Interaction (CRI) and technological-based tools for automated behavior assessment. Robot-assisted tools using CRI theories have been of interest in intervention for children with Autism Spectrum Disorder (CwASD), elucidating faster and more significant gains from the diagnosis and therapeutic intervention when compared to classical methods. Additionally, using computer vision to analyze child’s behaviors and automated video coding to summarize the responses would help clinicians to reduce the delay of ASD diagnosis. In this article, a CRI to enhance the traditional tools for ASD diagnosis is proposed. The system relies on computer vision and an unstructured and scalable network of RGBD sensors built upon Robot Operating System (ROS) and machine learning algorithms for automated face analysis. Also, a proof of concept is presented, with participation of three typically developing (TD) children and three children in risk of suffering from ASD. © 2019, Springer Nature B.V.",Journal of Intelligent and Robotic Systems: Theory and Applications,10.1007/s10846-018-00975-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064197630&doi=10.1007%2fs10846-018-00975-y&partnerID=40&md5=725381edefec9ab255f1528b77b422c1,2019,2021-07-20 15:48:59,2021-07-20 15:48:59
FVSE7PZC,journalArticle,2020,"Yang, H.",Venture capital decision based on FPGA and machine learning,"Venture capital decision based Machine Learning is the Intelligence is a way to build, economic and execute stock market that allow you to make your own decisions. Global market intelligence technology attracts a wide range of people by making it an essential adaptation of various industries internal activities. It accelerates all internal (external or internal) tasks by increasing the focus on data-based decision-making methods. The traditional sub-sectors of the financial services venture capital industry have a lot to do with human interaction. Venture capital investment is considered a high-risk, high-return asset class. In the previous method based on IOT (Internet of Thing) and data mining for Venture capital decision. The existing method gives the data security, personal security, low data monitoring. The proposed method is based on FPGA (Field Programmable Gate Arrays) and Machine learning for Venture capital decision. Venture investment decisions can use machine learning to apply pre-optimized transactions, company data, founder data, etc. Understand how venture capitalists use artificial intelligence tools and methods to improve venture capital decisions. By focusing on the following eight value chain areas involved in commercial procurement, contract selection, valuation, transaction formation, post-investment appreciation, termination, and the company's internal and external enterprise-decision-making venture capital to improve human decision-making in the venture capital industry FPGA (Field Programmable Gate Arrays) tools and machine learning techniques can be used to Determine how to use artificial intelligence in such critical scenarios and venture capital decisions and the advantages and disadvantages of using artificial intelligence systems. © 2020 Elsevier B.V.",Microprocessors and Microsystems,10.1016/j.micpro.2020.103457,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096616137&doi=10.1016%2fj.micpro.2020.103457&partnerID=40&md5=dfd8f2ec93b4280622c714e1fb3860c2,2020,2021-07-20 15:48:59,2021-07-20 15:48:59
2KQPE2X9,journalArticle,2019,"Seiffertt, J.",Adaptive Resonance Theory in the time scales calculus,"Engineering applications of algorithms based on Adaptive Resonance Theory have proven to be fast, reliable, and scalable solutions to modern industrial machine learning problems. A key emerging area of research is in the combination of different kinds of inputs within a single learning architecture along with ensuring the systems have the capacity for lifelong learning. We establish a dynamic equation model of ART in the time scales calculus capable of handling inputs in such mixed domains. We prove theorems establishing that the orienting subsystem can affect learning in the long-term memory storage unit as well as that those remembered exemplars result in stable categories. Further, we contribute to the mathematics of time scales literature itself with novel takes on logic functions in the calculus as well as new representations for the action of weight matrices in generalized domains. Our work extends the core ART theory and algorithms to these important mixed input domains and provides the theoretical foundation for further extensions of ART-based learning strategies for applied engineering work. © 2019 Elsevier Ltd",Neural Networks,10.1016/j.neunet.2019.08.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071719328&doi=10.1016%2fj.neunet.2019.08.010&partnerID=40&md5=4c832d19a98dd3f875ca14861e744c41,2019,2021-07-20 15:48:59,2021-07-20 15:48:59
JPE9YDXC,journalArticle,2019,"Li, W.; Xie, L.; Wang, Z.",Two-Loop Covert Attacks Against Constant Value Control of Industrial Control Systems,"In the field of covert data integrity attacks, considerable attention has focused on two important issues. One is the issue of how to change the state of a plant, and the other is how to avoid being detected by anomaly detectors. A two-loop covert attack is presented to provide an integrated solution for these two issues. As an exploratory attempt to establish the feasibility of machine learning-based covert attacks, it applies the least squares support vector machine to constructing covert attacks. The proposed attack consists of an attack loop and a covert loop, which are based on an attack agent and a covert agent, respectively. The attack agent can move the steady state of a target plant to a desired state, and the covert agent can closely imitate the normal steady state of the plant to cover up the attack agent. In particular, the attack is directed to proportional-integral-derivative algorithms. Experiments are carried out to demonstrate the feasibility of the proposed attack and show the applicability of machine learning methods in constructing covert attacks. © 2005-2012 IEEE.",IEEE Transactions on Industrial Informatics,10.1109/TII.2018.2819677,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044363896&doi=10.1109%2fTII.2018.2819677&partnerID=40&md5=2f53d8a1734ce673f0f58d4e51834fa6,2019,2021-07-20 15:48:59,2021-07-20 15:48:59
FXXW7U9X,journalArticle,2020,"Abdel-Karim, B.M.; Pfeuffer, N.; Rohde, G.; Hinz, O.",How and What Can Humans Learn from Being in the Loop?: Invoking Contradiction Learning as a Measure to Make Humans Smarter,"This article discusses the counterpart of interactive machine learning, i.e., human learning while being in the loop in a human-machine collaboration. For such cases we propose the use of a Contradiction Matrix to assess the overlap and the contradictions of human and machine predictions. We show in a small-scaled user study with experts in the area of pneumology (1) that machine-learning based systems can classify X-rays with respect to diseases with a meaningful accuracy, (2) humans partly use contradictions to reconsider their initial diagnosis, and (3) that this leads to a higher overlap between human and machine diagnoses at the end of the collaboration situation. We argue that disclosure of information on diagnosis uncertainty can be beneficial to make the human expert reconsider her or his initial assessment which may ultimately result in a deliberate agreement. In the light of the observations from our project, it becomes apparent that collaborative learning in such a human-in-the-loop scenario could lead to mutual benefits for both human learning and interactive machine learning. Bearing the differences in reasoning and learning processes of humans and intelligent systems in mind, we argue that interdisciplinary research teams have the best chances at tackling this undertaking and generating valuable insights. © 2020, The Author(s).",KI - Kunstliche Intelligenz,10.1007/s13218-020-00638-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088029967&doi=10.1007%2fs13218-020-00638-x&partnerID=40&md5=b0004dcd73de2ff54771a89a5baf5579,2020,2021-07-20 15:48:59,2021-07-20 15:48:59
GBXKTI2T,journalArticle,2018,"Kleyko, D.; Osipov, E.; Papakonstantinou, N.; Vyatkin, V.",Hyperdimensional computing in industrial systems: The use-case of distributed fault isolation in a power plant,"This paper presents an approach for distributed fault isolation in a generic system of systems. The proposed approach is based on the principles of hyperdimensional computing. In particular, the recently proposed method called Holographic Graph Neuron is used. We present a distributed version of Holographic Graph Neuron and evaluate its performance on the problem of fault isolation in a complex power plant model. Compared to conventional machine learning methods applied in the context of the same scenario the proposed approach shows comparable performance while being distributed and requiring simple binary operations, which allow for a fast and efficient implementation in hardware. © 2013 IEEE.",IEEE Access,10.1109/ACCESS.2018.2840128,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047613488&doi=10.1109%2fACCESS.2018.2840128&partnerID=40&md5=48b98c01d0d758e0a961d846d8bc0e13,2018,2021-07-20 15:48:59,2021-07-20 15:48:59
