"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IIHYUS98","thesis","2019","Dashtipour, Kia","Novel Symbolic and Sub-Symbolic Approaches for Text Based and Multimodal Sentiment Analysis","","","","","","In the era of digital media, e-commerce and social networks, websites allow users to share opinions and feedback about products and services. Customers can make informed decisions by reading the experiences of other users. In addition, customer feedback can be used by the organizations to further improve the offered services. However, the quintillion bytes of data generated per day in different languages such as Persian consisting of user feedback cannot be manually read and analyzed by an individual or an organization, for gauging public opinion. Sentiment analysis is an automated process of computationally understanding and classifying subjective information in multi disciplinary fields such as products, movies, news, public opinion etc. In this thesis, we focus on developing novel methods for Persian text based sentiment analysis. We exploit the developed text-based methods to improve multimodal polarity detection. Specifically, we develop a novel hybrid framework that integrates dependency-based rules and deep neural networks for detecting polarity in Persian natural language sentences. In addition, we develop a Persian multimodal sentiment analysis framework that integrates audio, visual and textual cues to computationally understand and harvest sentiments from videos posted on social media platforms such as YouTube and Facebook. Specifically, a first of its kind, multimodal Persian sentiment analysis dataset is developed, which is then used evaluate the proposed multimodal framework that exploits the hybrid dependency-based sentiment analysis framework and deep neural network based multimodal fusion. Extensive experimental results have proven the effectiveness of the proposed approaches as compared to state-of-the-art approaches including deep neural networks.","2019","2021-07-20 15:23:38","2021-07-20 15:23:38","","","","","","","","","","","","","University of Stirling (United Kingdom)","","","","PhD Thesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VM6FS6UR","conferencePaper","2018","Riley, Heather; Sridharan, Mohan","Non-Monotonic Logical Reasoning and Deep Learning for Explainable Visual Question Answering","Proceedings of the 6th International Conference on Human-Agent Interaction","978-1-4503-5953-5","","10.1145/3284432.3284456","https://doi.org/10.1145/3284432.3284456","State of the art visual question answering (VQA) methods rely heavily on deep network architectures. These methods require a large labeled dataset for training, which is not available in many domains. Also, it is difficult to explain the working of deep networks learned from such datasets. Towards addressing these limitations, this paper describes an architecture inspired by research in cognitive systems that integrates commonsense logical reasoning with deep learning algorithms. In the context of answering explanatory questions about scenes and the underlying classification problems, the architecture uses deep networks for processing images and for generating answers to queries. Between these deep networks, it embeds components for non-monotonic logical reasoning with incomplete commonsense domain knowledge and for decision tree induction. Experimental results show that this architecture outperforms an architecture based only on deep networks when the training dataset is small, provides comparable performance on larger datasets, and provides intuitive answers to explanatory questions.","2018","2021-07-20 15:23:38","2021-07-20 15:23:38","","11–19","","","","","","","HAI '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Southampton, United Kingdom","","","","deep networks; explainable visual query answering; non-monotonic logical reasoning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VQPHH6FL","conferencePaper","2018","Yi, Kexin; Wu, Jiajun; Gan, Chuang; Torralba, Antonio; Kohli, Pushmeet; Tenenbaum, Joshua B.","Neural-Symbolic VQA: Disentangling Reasoning from Vision and Language Understanding","Proceedings of the 32nd International Conference on Neural Information Processing Systems","","","","","We marry two powerful ideas: deep representation learning for visual recognition and language understanding, and symbolic program execution for reasoning. Our neural-symbolic visual question answering (NS-VQA) system first recovers a structural scene representation from the image and a program trace from the question. It then executes the program on the scene representation to obtain an answer. Incorporating symbolic structure as prior knowledge offers three unique advantages. First, executing programs on a symbolic space is more robust to long program traces; our model can solve complex reasoning tasks better, achieving an accuracy of 99.8% on the CLEVR dataset. Second, the model is more data- and memory-efficient: it performs well after learning on a small number of training data; it can also encode an image into a compact representation, requiring less storage than existing methods for offline question answering. Third, symbolic program execution offers full transparency to the reasoning process; we are thus able to interpret and diagnose each execution step.","2018","2021-07-20 15:23:38","2021-07-20 15:23:38","","1039–1050","","","","","","","NIPS'18","","","","Curran Associates Inc.","Red Hook, NY, USA","","","","","","","","event-place: Montréal, Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S3QIY7WF","journalArticle","2018","Cocarascu, Oana; Toni, Francesca","Combining Deep Learning and Argumentative Reasoning for the Analysis of Social Media Textual Content Using Small Data Sets","Comput. Linguist.","","0891-2017","10.1162/coli_a_00338","https://doi.org/10.1162/coli_a_00338","The use of social media has become a regular habit for many and has changed the way people interact with each other. In this article, we focus on analyzing whether news headlines support tweets and whether reviews are deceptive by analyzing the interaction or the influence that these texts have on the others, thus exploiting contextual information. Concretely, we define a deep learning method for relation-based argument mining to extract argumentative relations of attack and support. We then use this method for determining whether news articles support tweets, a useful task in fact-checking settings, where determining agreement toward a statement is a useful step toward determining its truthfulness. Furthermore, we use our method for extracting bipolar argumentation frameworks from reviews to help detect whether they are deceptive. We show experimentally that our method performs well in both settings. In particular, in the case of deception detection, our method contributes a novel argumentative feature that, when used in combination with other features in standard supervised classifiers, outperforms the latter even on small data sets.","2018-12","2021-07-20 15:23:38","2021-07-20 15:23:38","","833–858","","4","44","","","","","","","","","","","","","","","","","Place: Cambridge, MA, USA Publisher: MIT Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CSGZH2UK","journalArticle","2018","S., Sreelekha","NeuroSymbolic Integration with Uncertainty","Annals of Mathematics and Artificial Intelligence","","1012-2443","10.1007/s10472-018-9605-y","https://doi.org/10.1007/s10472-018-9605-y","Most of the tasks which require intelligent behavior have some degree of uncertainty associated with them. The occurrence of uncertainty might be because of several reasons such as the incomplete domain knowledge, unreliable or ambiguous data due to measurement errors, inconsistent data representation. Most of the knowledge-based systems require the incorporation of some form of uncertainty management, in order to handle this kind of indeterminacy present in the system. In this paper, we present one such method to handle the uncertainty in neurules, a neuro-symbolic integration concept. Neuro-Computing is used within the symbolic frame work for improving the performance of symbolic rules. The uncertainty, the personal belief degree that an uncertain event may occur is managed by computing the composite belief values of incomplete or conflicting data. With the implementation of uncertainty management in neurules, the accuracy of the inference mechanism and the generalization performance can be improved.","2018-12","2021-07-20 15:23:38","2021-07-20 15:23:38","","201–220","","3–4","84","","","","","","","","","","","","","","","","","Place: USA Publisher: Kluwer Academic Publishers","","","","Neuro-symbolic integration; Decision support; Dempster-Shafer theory; Knowledge based neuro-computing; Knowledge based systems; Neurules; Uncertainty reasoning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D22ZYTNB","conferencePaper","2018","Prapas, Ioannis; Paliouras, Georgios; Artikis, Alexander; Baskiotis, Nicolas","Towards Human Activity Reasoning with Computational Logic and Deep Learning","Proceedings of the 10th Hellenic Conference on Artificial Intelligence","978-1-4503-6433-1","","10.1145/3200947.3201051","https://doi.org/10.1145/3200947.3201051","We approach the problem of human action recognition in videos by distinguishing between simple and complex actions. To recognize simple actions, we take advantage of the latest advances with 3D convolutional networks, which are able to offer a generic video snippet descriptor. For the complex ones, which involve interaction between more than one individual, we use the recognized simple human actions of the previous step to generate Event Calculus theories. This way, we aim to achieve a high-level human action understanding, combining the opaque effectiveness of deep learning and the transparent reasoning of computational logic. Our experimental results on a benchmark activity recognition dataset encourage further research towards this direction.","2018","2021-07-20 15:23:39","2021-07-20 15:23:39","","","","","","","","","SETN '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Patras, Greece","","","","Activity Reasoning; Activity Recognition; C3D features; Event Calculus; Inductive Logic Programming","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"957FJI9Q","conferencePaper","2018","Hicks, Steven Alexander; Pogorelov, Konstantin; de Lange, Thomas; Lux, Mathias; Jeppsson, Mattis; Randel, Kristin Ranheim; Eskeland, Sigrun; Halvorsen, Pål; Riegler, Michael","Comprehensible Reasoning and Automated Reporting of Medical Examinations Based on Deep Learning Analysis","Proceedings of the 9th ACM Multimedia Systems Conference","978-1-4503-5192-8","","10.1145/3204949.3208113","https://doi.org/10.1145/3204949.3208113","In the future, medical doctors will to an increasing degree be assisted by deep learning neural networks for disease detection during examinations of patients. In order to make qualified decisions, the black box of deep learning must be opened to increase the understanding of the reasoning behind the decision of the machine learning system. Furthermore, preparing reports after the examinations is a significant part of a doctors work-day, but if we already have a system dissecting the neural network for understanding, the same tool can be used for automatic report generation. In this demo, we describe a system that analyses medical videos from the gastrointestinal tract. Our system dissects the Tensorflow-based neural network to provide insights into the analysis and uses the resulting classification and rationale behind the classification to automatically generate an examination report for the patient's medical journal.","2018","2021-07-20 15:23:39","2021-07-20 15:23:39","","490–493","","","","","","","MMSys '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Amsterdam, Netherlands","","","","deep learning; automatic disease detection; interpretable neural networks; medical documentation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXI9WI3M","conferencePaper","2018","Hicks, Steven Alexander; Eskeland, Sigrun; Lux, Mathias; de Lange, Thomas; Randel, Kristin Ranheim; Jeppsson, Mattis; Pogorelov, Konstantin; Halvorsen, Pål; Riegler, Michael","Mimir: An Automatic Reporting and Reasoning System for Deep Learning Based Analysis in the Medical Domain","Proceedings of the 9th ACM Multimedia Systems Conference","978-1-4503-5192-8","","10.1145/3204949.3208129","https://doi.org/10.1145/3204949.3208129","Automatic detection of diseases is a growing field of interest, and machine learning in form of deep learning neural networks are frequently explored as a potential tool for the medical video analysis. To both improve the ""black box""-understanding and assist in the administrative duties of writing an examination report, we release an automated multimedia reporting software dissecting the neural network to learn the intermediate analysis steps, i.e., we are adding a new level of understanding and explainability by looking into the deep learning algorithms decision processes. The presented open-source software can be used for easy retrieval and reuse of data for automatic report generation, comparisons, teaching and research. As an example, we use live colonoscopy as a use case which is the gold standard examination of the large bowel, commonly performed for clinical and screening purposes. The added information has potentially a large value, and reuse of the data for the automatic reporting may potentially save the doctors large amounts of time.","2018","2021-07-20 15:23:39","2021-07-20 15:23:39","","369–374","","","","","","","MMSys '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Amsterdam, Netherlands","","","","deep learning; automatic disease detection; interpretable neural networks; medical documentation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3UXK2H3U","journalArticle","2018","Abdolrazzaghi, Mohammad; Hashemy, Soheil; Abdolali, Ali","Fast-Forward Solver for Inhomogeneous Media Using Machine Learning Methods: Artificial Neural Network, Support Vector Machine and Fuzzy Logic","Neural Comput. Appl.","","0941-0643","10.1007/s00521-016-2694-9","https://doi.org/10.1007/s00521-016-2694-9","Encountering with a nonlinear second-order differential equation including ∈r and μr spatial distributions, while computing the fields inside inhomogeneous media, persuaded us to find their known distributions that give exact solutions. Similarities between random distributions of electric properties and known functions lead us to estimate them using three mathematical tools of artificial neural networks (ANNs), support vector machines (SVMs) and Fuzzy Logic (FL). Assigning known functions after fitting with minimum error to arbitrary inputs using results of machine learning networks leads to achieve an approximate solution for the field inside materials considering boundary conditions. A comparative study between the methods according to the complexity of the structures as well as the accuracy and the calculation time for testing of unforeseen inputs, including classification, prediction and regression is presented. We examined the extracted pairs of ∈r and μr with ANN, SVM networks and FL and got satisfactory outputs with detailed results. The application of the presented method in zero reflection subjects is exemplified.","2018-06","2021-07-20 15:23:39","2021-07-20 15:23:39","","1583–1591","","12","29","","","","","","","","","","","","","","","","","Place: Berlin, Heidelberg Publisher: Springer-Verlag","","","","Artificial neural network; Fuzzy logic; Inhomogeneous media; Scattering; Support vector machine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WFMZNCRP","conferencePaper","2018","Shrestha, Sohil L.; Panda, Saroj; Csallner, Christoph","Complementing Machine Learning Classifiers via Dynamic Symbolic Execution: ""Human vs. Bot Generated"" Tweets","Proceedings of the 6th International Workshop on Realizing Artificial Intelligence Synergies in Software Engineering","978-1-4503-5723-4","","10.1145/3194104.3194111","https://doi.org/10.1145/3194104.3194111","Recent machine learning approaches for classifying text as human-written or bot-generated rely on training sets that are large, labeled diligently, and representative of the underlying domain. While valuable, these machine learning approaches ignore programs as an additional source of such training sets. To address this problem of incomplete training sets, this paper proposes to systematically supplement existing training sets with samples inferred via program analysis. In our preliminary evaluation, training sets enriched with samples inferred via dynamic symbolic execution were able to improve machine learning classifier accuracy for simple string-generating programs.","2018","2021-07-20 15:23:39","2021-07-20 15:23:39","","15–20","","","","","","","RAISE '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Gothenburg, Sweden","","","","dynamic symbolic execution; program analysis; program output classification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBL8Z2QX","conferencePaper","2018","Bhatia, Sahil; Kohli, Pushmeet; Singh, Rishabh","Neuro-Symbolic Program Corrector for Introductory Programming Assignments","Proceedings of the 40th International Conference on Software Engineering","978-1-4503-5638-1","","10.1145/3180155.3180219","https://doi.org/10.1145/3180155.3180219","Automatic correction of programs is a challenging problem with numerous real world applications in security, verification, and education. One application that is becoming increasingly important is the correction of student submissions in online courses for providing feedback. Most existing program repair techniques analyze Abstract Syntax Trees (ASTs) of programs, which are unfortunately unavailable for programs with syntax errors. In this paper, we propose a novel Neuro-symbolic approach that combines neural networks with constraint-based reasoning. Specifically, our method first uses a Recurrent Neural Network (RNN) to perform syntax repairs for the buggy programs; subsequently, the resulting syntactically-fixed programs are repaired using constraint-based techniques to ensure functional correctness. The RNNs are trained using a corpus of syntactically correct submissions for a given programming assignment, and are then queried to fix syntax errors in an incorrect programming submission by replacing or inserting the predicted tokens at the error location. We evaluate our technique on a dataset comprising of over 14,500 student submissions with syntax errors. Our method is able to repair syntax errors in 60% (8689) of submissions, and finds functionally correct repairs for 23.8% (3455) submissions.","2018","2021-07-20 15:23:39","2021-07-20 15:23:39","","60–70","","","","","","","ICSE '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Gothenburg, Sweden","","","","automated feedback generation; neural guided search; neural program correction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6KW2PU3K","conferencePaper","2018","Zhou, Xin; Fan, Cai zhi; Wu, Jun","A Design Method of Fuzzy Logic Controller by Using Q Learning Algorithm","Proceedings of the 2018 10th International Conference on Machine Learning and Computing","978-1-4503-6353-2","","10.1145/3195106.3195138","https://doi.org/10.1145/3195106.3195138","As one of Reinforcement Learning (RL), Q learning algorithm has been applied in many fields of dynamic programming, and its Q Neural Network (Q-NN) can map the states of the environment to the corresponding control actions. Q learning algorithm can reach or exceed human level in some video games. Nevertheless, the function of a neural network is similar to a black box. When the network fails in some control tasks, the adjustment of the network by the people is very difficult to achieve. In contrast, due to the semantic control rules of the Fuzzy Logic Controller (FLC), incorrect rules can be artificially adjusted, however, a completely manual control rules design is a burdensome task. Therefore, in this paper, we propose a new method for the FLC to learn rules from well-trained neural networks and then fine-tune incorrect rules based on human knowledge. Finally, we experimented with navigational task and showed that the FLC we designed is able to accomplish the task, which achieved all of the reaching-target goals in 100,000 tests. (all the experiments results and relative codes are available on https://github.com/inksci/logic-controller).","2018","2021-07-20 15:23:39","2021-07-20 15:23:39","","357–362","","","","","","","ICMLC 2018","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Macau, China","","","","fuzzy logic controller; genetic algorithm; navigation; neural networks; Q learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RBQU42MG","conferencePaper","2017","Mavridis, Constantinos; Athanasiadis, Ioannis N.","Spatial Classification with Fuzzy Lattice Reasoning","Proceedings of the 1st International Conference on Internet of Things and Machine Learning","978-1-4503-5243-7","","10.1145/3109761.3158378","https://doi.org/10.1145/3109761.3158378","This work extends the Fuzzy Lattice Reasoning (FLR) Classifier to manage spatial attributes, and spatial relationships. Specifically, we concentrate on spatial entities, as countries, cities, or states. Lattice Theory requires the elements of a Lattice to be partially ordered. To match such requirement, spatial entities are represented as a graph, whose number of nodes is equal to the amount of unique values of the spatial attribute elements. Then, the graph nodes are linearly arranged to formulate a partially ordered set; and thus be included in the Fuzzy Lattice classifier. The overall problem of incorporating spatial attributes in FLR was deduced to a Minimum Linear Arrangement problem. A corresponding open-source implementation in R has been made available on CRAN repository. The proposed method was evaluated using an open spatial dataset from the National Ambient Air Quality Standards (NAAQS). We investigated whether the addition of the spatial attribute contributed to any improvements in classification accuracy; and how linear arrangement alternatives may affect it. Experimental results showed that classification accuracy is above 85% in all cases, and the use of spatial attributes resulted to an increased accuracy of 92%. Alternative linear arrangements did not contribute significantly in improving classification accuracy in this case study.","2017","2021-07-20 15:23:39","2021-07-20 15:23:39","","","","","","","","","IML '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Liverpool, United Kingdom","","","","classification; fuzzy lattice reasoning; lattice theory; linear arrangement; spatial classification; spatial data; spatial data mining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYRS5RDP","conferencePaper","2017","Vishi, Kamer; Jøsang, Audun","A New Approach for Multi-Biometric Fusion Based on Subjective Logic","Proceedings of the 1st International Conference on Internet of Things and Machine Learning","978-1-4503-5243-7","","10.1145/3109761.3158409","https://doi.org/10.1145/3109761.3158409","Biometric verification systems have to address many practical requirements, such as performance, presentation attack detection (PAD), large population coverage, demographic diversity, and varied deployment environment. Traditional unimodal biometric systems do not fully meet the aforementioned requirements making them vulnerable and susceptible to different types of attacks. In response to that, modern biometric systems combine multiple biometric modalities at different fusion levels, such as sensor, feature, score and decision level. The fused score is decisive to classify an unknown user as a genuine or impostor. In this paper, we describe a new biometric fusion framework based on Subjective Logic (SL); a type of probabilistic logic that explicitly takes uncertainty and trust into consideration. We principally evaluate our proposed fusion framework using two modalities, namely iris and fingerprint. Furethermore, the individual scores obtained from various comparators are combined at score level by applying four score fusion approaches (minimum score, maximum score, simple sum, and subjective logic) and three score normalization techniques (min-max, z-score, hyperbolic tangent). The experimental results show that the proposed score level fusion approach (subjective logic) gives the best authentication accuracy even when particular biometric classifiers give distinct comparison scores.","2017","2021-07-20 15:23:39","2021-07-20 15:23:39","","","","","","","","","IML '17","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Liverpool, United Kingdom","","","","belief fusion; fingerprint; iris recognition; multimodal biometrics; quality assessment; subjective logic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8F7ZKA2","conferencePaper","2017","Banescu, Sebastian; Collberg, Christian; Pretschner, Alexander","Predicting the Resilience of Obfuscated Code against Symbolic Execution Attacks via Machine Learning","Proceedings of the 26th USENIX Conference on Security Symposium","978-1-931971-40-9","","","","Software obfuscation transforms code such that it is more difficult to reverse engineer. However, it is known that given enough resources, an attacker will successfully reverse engineer an obfuscated program. Therefore, an open challenge for software obfuscation is estimating the time an obfuscated program is able to withstand a given reverse engineering attack. This paper proposes a general framework for choosing the most relevant software features to estimate the effort of automated attacks. Our framework uses these software features to build regression models that can predict the resilience of different software protection transformations against automated attacks. To evaluate the effectiveness of our approach, we instantiate it in a case-study about predicting the time needed to deobfuscate a set of C programs, using an attack based on symbolic execution. To train regression models our system requires a large set of programs as input. We have therefore implemented a code generator that can generate large numbers of arbitrarily complex random C functions. Our results show that features such as the number of community structures in the graph-representation of symbolic path-constraints, are far more relevant for predicting deobfuscation time than other features generally used to measure the potency of control-flow obfuscation (e.g. cyclomatic complexity). Our best model is able to predict the number of seconds of symbolic execution-based deobfuscation attacks with over 90% accuracy for 80% of the programs in our dataset, which also includes several realistic hash functions.","2017","2021-07-20 15:23:39","2021-07-20 15:23:39","","661–678","","","","","","","SEC'17","","","","USENIX Association","USA","","","","","","","","event-place: Vancouver, BC, Canada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZKBCEQB","conferencePaper","2017","Allamanis, Miltiadis; Chanthirasegaran, Pankajan; Kohli, Pushmeet; Sutton, Charles","Learning Continuous Semantic Representations of Symbolic Expressions","Proceedings of the 34th International Conference on Machine Learning - Volume 70","","","","","Combining abstract, symbolic reasoning with continuous neural reasoning is a grand challenge of representation learning. As a step in this direction, we propose a new architecture, called neural equivalence networks, for the problem of learning continuous semantic representations of algebraic and logical expressions. These networks are trained to represent semantic equivalence, even of expressions that are syntactically very different. The challenge is that semantic representations must be computed in a syntax-directed manner, because semantics is compositional, but at the same time, small changes in syntax can lead to very large changes in semantics, which can be difficult for continuous neural architectures. We perform an exhaustive evaluation on the task of checking equivalence on a highly diverse class of symbolic algebraic and boolean expression types, showing that our model significantly outperforms existing architectures.","2017","2021-07-20 15:23:39","2021-07-20 15:23:39","","80–88","","","","","","","ICML'17","","","","JMLR.org","","","","","","","","","event-place: Sydney, NSW, Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G276ZEUL","conferencePaper","2017","Mou, Lili; Lu, Zhengdong; Li, Hang; Jin, Zhi","Coupling Distributed and Symbolic Execution for Natural Language Queries","Proceedings of the 34th International Conference on Machine Learning - Volume 70","","","","","Building neural networks to query a knowledge base (a table) with natural language is an emerging research topic in deep learning. An executor for table querying typically requires multiple steps of execution because queries may have complicated structures. In previous studies, researchers have developed either fully distributed executors or symbolic executors for table querying. A distributed executor can be trained in an end-to-end fashion, but is weak in terms of execution efficiency and explicit interpretability. A symbolic executor is efficient in execution, but is very difficult to train especially at initial stages. In this paper, we propose to couple distributed and symbolic execution for natural language queries, where the symbolic executor is pretrained with the distributed executor's intermediate execution results in a step-by-step fashion. Experiments show that our approach significantly outperforms both distributed and symbolic executors, exhibiting high accuracy, high learning efficiency, high execution efficiency, and high interpretability.","2017","2021-07-20 15:23:39","2021-07-20 15:23:39","","2518–2526","","","","","","","ICML'17","","","","JMLR.org","","","","","","","","","event-place: Sydney, NSW, Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXM3DKM3","conferencePaper","2017","Trivedi, Rakshit; Dai, Hanjun; Wang, Yichen; Song, Le","Know-Evolve: Deep Temporal Reasoning for Dynamic Knowledge Graphs","Proceedings of the 34th International Conference on Machine Learning - Volume 70","","","","","The availability of large scale event data with time stamps has given rise to dynamically evolving knowledge graphs that contain temporal information for each edge. Reasoning over time in such dynamic knowledge graphs is not yet well understood. To this end, we present Know-Evolve, a novel deep evolutionary knowledge network that learns non-linearly evolving entity representations over time. The occurrence of a fact (edge) is modeled as a multivariate point process whose intensity function is modulated by the score for that fact computed based on the learned entity embed-dings. We demonstrate significantly improved performance over various relational learning approaches on two large scale real-world datasets. Further, our method effectively predicts occurrence or recurrence time of a fact which is novel compared to prior reasoning approaches in multi-relational setting.","2017","2021-07-20 15:23:39","2021-07-20 15:23:39","","3462–3471","","","","","","","ICML'17","","","","JMLR.org","","","","","","","","","event-place: Sydney, NSW, Australia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7PM7FS8","journalArticle","2017","Besold, Tarek R.; Garcez, Artur D'avila; Stenning, Keith; Torre, Leendert; Lambalgen, Michiel","Reasoning in Non-Probabilistic Uncertainty: Logic Programming and Neural-Symbolic Computing as Examples","Minds Mach.","","0924-6495","10.1007/s11023-017-9428-3","https://doi.org/10.1007/s11023-017-9428-3","This article aims to achieve two goals: to show that probability is not the only way of dealing with uncertainty (and even more, that there are kinds of uncertainty which are for principled reasons not addressable with probabilistic means); and to provide evidence that logic-based methods can well support reasoning with uncertainty. For the latter claim, two paradigmatic examples are presented: logic programming with Kleene semantics for modelling reasoning from information in a discourse, to an interpretation of the state of affairs of the intended model, and a neural-symbolic implementation of input/output logic for dealing with uncertainty in dynamic normative contexts.","2017-03","2021-07-20 15:23:39","2021-07-20 15:23:39","","37–77","","1","27","","","","","","","","","","","","","","","","","Place: USA Publisher: Kluwer Academic Publishers","","","","Dynamic norms; Interpretation; Logic programming; Neural-symbolic integration; Uncertainty in reasoning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4532A8U","conferencePaper","2017","Matsumoto, Atsushi; Kubota, Chikara; Ohwada, Hayato","Extracting Rules for Successful Conditions for Artificial Insemination in Dairy Cattle Using Inductive Logic Programming","Proceedings of the 9th International Conference on Machine Learning and Computing","978-1-4503-4817-1","","10.1145/3055635.3056607","https://doi.org/10.1145/3055635.3056607","This paper describes a method of pattern extraction to identify successful conditions for artificial insemination in dairy cattle using inductive logic programming. The fertility of lactating dairy cows is economically important but the mean reproductive performance of Holstein cows has declined during the past three decades. The Milk production increases after birth and gradually decreases after several weeks, but it increases again upon the next birth. Increasing the probability of successful artificial insemination is thus economically important. However the success rate of artificial insemination is 20 to 30 %. The amount of progesterone is closely related to the estrus cycle, and can be measured from raw milk. In this study, we extracted variation pattern from time-series data related to dairy cattle including the amount of progesterone using ILP. The success pattern or failure patterns for artificial insemination extracted by the ILP system can be used for decision making on artificial insemination.","2017","2021-07-20 15:23:39","2021-07-20 15:23:39","","6–10","","","","","","","ICMLC 2017","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Singapore, Singapore","","","","Machine Learning; Inductive Logic Programming; Artificial Insemination; Time Series Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESXQS8WH","journalArticle","2017","Konev, Boris; Lutz, Carsten; Ozaki, Ana; Wolter, Frank","Exact Learning of Lightweight Description Logic Ontologies","J. Mach. Learn. Res.","","1532-4435","","","We study the problem of learning description logic (DL) ontologies in Angluin et al.'s framework of exact learning via queries. We admit membership queries (""is a given subsumption entailed by the target ontology?"") and equivalence queries (""is a given ontology equivalent to the target ontology?""). We present three main results: (1) ontologies formulated in (two relevant versions of) the description logic DL-Lite can be learned with polynomially many queries of polynomial size; (2) this is not the case for ontologies formulated in the description logic EL, even when only acyclic ontologies are admitted; and (3) ontologies formulated in a fragment of EL related to the web ontology language OWL 2 RL can be learned in polynomial time. We also show that neither membership nor equivalence queries alone are sufficient in cases (1) and (3).","2017-01","2021-07-20 15:23:39","2021-07-20 15:23:39","","7312–7374","","1","18","","","","","","","","","","","","","","","","","Publisher: JMLR.org","","","","complexity; description logic; exact learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
